date,trump covid,isPartial
2020-05-27,44,False
2020-05-28,44,False
2020-05-29,39,False
2020-05-30,27,False
2020-05-31,55,False
2020-06-01,39,False
2020-06-02,31,False
2020-06-03,15,False
2020-06-04,43,False
2020-06-05,58,False
2020-06-06,17,False
2020-06-07,35,False
2020-06-08,22,False
2020-06-09,22,False
2020-06-10,23,False
2020-06-11,38,False
2020-06-12,48,False
2020-06-13,38,False
2020-06-14,84,False
2020-06-15,31,False
2020-06-16,46,False
2020-06-17,38,False
2020-06-18,32,False
2020-06-19,24,False
2020-06-20,91,False
2020-06-21,76,False
2020-06-22,32,False
2020-06-23,40,False
2020-06-24,56,False
2020-06-25,89,False
2020-06-26,59,False
2020-06-27,38,False
2020-06-28,28,False
2020-06-29,57,False
2020-06-30,73,False
2020-07-01,41,False
2020-07-02,67,False
2020-07-03,45,False
2020-07-04,70,False
2020-07-05,60,False
2020-07-06,56,False
2020-07-07,65,False
2020-07-08,100,False
2020-07-09,42,False
2020-07-10,34,False
2020-07-11,59,False
