date,trump covid,isPartial
2020-05-27,37,False
2020-05-28,41,False
2020-05-29,35,False
2020-05-30,32,False
2020-05-31,30,False
2020-06-01,35,False
2020-06-02,35,False
2020-06-03,34,False
2020-06-04,32,False
2020-06-05,30,False
2020-06-06,28,False
2020-06-07,35,False
2020-06-08,27,False
2020-06-09,27,False
2020-06-10,29,False
2020-06-11,31,False
2020-06-12,36,False
2020-06-13,38,False
2020-06-14,39,False
2020-06-15,46,False
2020-06-16,45,False
2020-06-17,43,False
2020-06-18,44,False
2020-06-19,44,False
2020-06-20,78,False
2020-06-21,100,False
2020-06-22,53,False
2020-06-23,59,False
2020-06-24,70,False
2020-06-25,68,False
2020-06-26,73,False
2020-06-27,67,False
2020-06-28,60,False
2020-06-29,49,False
2020-06-30,57,False
2020-07-01,65,False
2020-07-02,67,False
2020-07-03,68,False
2020-07-04,87,False
2020-07-05,67,False
2020-07-06,74,False
2020-07-07,74,False
2020-07-08,73,False
2020-07-09,67,False
2020-07-10,65,False
2020-07-11,59,False
