date,vote obama,isPartial
2012-08-06,14,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,14,False
2012-08-11,17,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,13,False
2012-08-15,0,False
2012-08-16,13,False
2012-08-17,13,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,13,False
2012-08-21,0,False
2012-08-22,12,False
2012-08-23,13,False
2012-08-24,0,False
2012-08-25,16,False
2012-08-26,16,False
2012-08-27,0,False
2012-08-28,13,False
2012-08-29,13,False
2012-08-30,26,False
2012-08-31,20,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,19,False
2012-09-05,12,False
2012-09-06,19,False
2012-09-07,51,False
2012-09-08,15,False
2012-09-09,0,False
2012-09-10,18,False
2012-09-11,27,False
2012-09-12,0,False
2012-09-13,15,False
2012-09-14,0,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,15,False
2012-09-18,44,False
2012-09-19,0,False
2012-09-20,15,False
2012-09-21,15,False
2012-09-22,18,False
2012-09-23,18,False
2012-09-24,0,False
2012-09-25,0,False
2012-09-26,15,False
2012-09-27,15,False
2012-09-28,0,False
2012-09-29,20,False
2012-09-30,0,False
2012-10-01,15,False
2012-10-02,23,False
2012-10-03,0,False
2012-10-04,38,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,19,False
2012-10-08,15,False
2012-10-09,14,False
2012-10-10,14,False
2012-10-11,0,False
2012-10-12,14,False
2012-10-13,17,False
2012-10-14,35,False
2012-10-15,28,False
2012-10-16,17,False
2012-10-17,22,False
2012-10-18,11,False
2012-10-19,29,False
2012-10-20,13,False
2012-10-21,26,False
2012-10-22,11,False
2012-10-23,16,False
2012-10-24,22,False
2012-10-25,11,False
2012-10-26,23,False
2012-10-27,13,False
2012-10-28,14,False
2012-10-29,22,False
2012-10-30,31,False
2012-10-31,42,False
2012-11-01,37,False
2012-11-02,49,False
2012-11-03,67,False
2012-11-04,41,False
2012-11-05,100,False
2012-11-06,96,False
