date,obama,isPartial
2012-08-06,7,False
2012-08-07,7,False
2012-08-08,8,False
2012-08-09,8,False
2012-08-10,9,False
2012-08-11,21,False
2012-08-12,13,False
2012-08-13,12,False
2012-08-14,12,False
2012-08-15,13,False
2012-08-16,15,False
2012-08-17,10,False
2012-08-18,10,False
2012-08-19,11,False
2012-08-20,12,False
2012-08-21,7,False
2012-08-22,9,False
2012-08-23,14,False
2012-08-24,14,False
2012-08-25,9,False
2012-08-26,13,False
2012-08-27,11,False
2012-08-28,12,False
2012-08-29,15,False
2012-08-30,20,False
2012-08-31,18,False
2012-09-01,12,False
2012-09-02,12,False
2012-09-03,9,False
2012-09-04,17,False
2012-09-05,46,False
2012-09-06,31,False
2012-09-07,48,False
2012-09-08,24,False
2012-09-09,15,False
2012-09-10,13,False
2012-09-11,19,False
2012-09-12,17,False
2012-09-13,19,False
2012-09-14,17,False
2012-09-15,12,False
2012-09-16,12,False
2012-09-17,15,False
2012-09-18,19,False
2012-09-19,22,False
2012-09-20,24,False
2012-09-21,22,False
2012-09-22,29,False
2012-09-23,25,False
2012-09-24,19,False
2012-09-25,17,False
2012-09-26,14,False
2012-09-27,17,False
2012-09-28,15,False
2012-09-29,18,False
2012-09-30,20,False
2012-10-01,30,False
2012-10-02,29,False
2012-10-03,31,False
2012-10-04,100,False
2012-10-05,30,False
2012-10-06,20,False
2012-10-07,15,False
2012-10-08,25,False
2012-10-09,23,False
2012-10-10,25,False
2012-10-11,19,False
2012-10-12,22,False
2012-10-13,13,False
2012-10-14,20,False
2012-10-15,14,False
2012-10-16,30,False
2012-10-17,52,False
2012-10-18,36,False
2012-10-19,43,False
2012-10-20,26,False
2012-10-21,22,False
2012-10-22,21,False
2012-10-23,51,False
2012-10-24,35,False
2012-10-25,32,False
2012-10-26,28,False
2012-10-27,29,False
2012-10-28,24,False
2012-10-29,27,False
2012-10-30,31,False
2012-10-31,32,False
2012-11-01,52,False
2012-11-02,57,False
2012-11-03,52,False
2012-11-04,59,False
2012-11-05,95,False
2012-11-06,98,False
