date,vote obama,isPartial
2012-08-06,0,False
2012-08-07,7,False
2012-08-08,0,False
2012-08-09,7,False
2012-08-10,0,False
2012-08-11,0,False
2012-08-12,9,False
2012-08-13,0,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,14,False
2012-08-17,0,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,7,False
2012-08-22,7,False
2012-08-23,7,False
2012-08-24,0,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,13,False
2012-08-28,13,False
2012-08-29,7,False
2012-08-30,7,False
2012-08-31,7,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,8,False
2012-09-04,10,False
2012-09-05,17,False
2012-09-06,7,False
2012-09-07,11,False
2012-09-08,0,False
2012-09-09,8,False
2012-09-10,10,False
2012-09-11,7,False
2012-09-12,7,False
2012-09-13,0,False
2012-09-14,7,False
2012-09-15,18,False
2012-09-16,0,False
2012-09-17,6,False
2012-09-18,6,False
2012-09-19,7,False
2012-09-20,20,False
2012-09-21,7,False
2012-09-22,18,False
2012-09-23,0,False
2012-09-24,0,False
2012-09-25,0,False
2012-09-26,6,False
2012-09-27,9,False
2012-09-28,6,False
2012-09-29,8,False
2012-09-30,8,False
2012-10-01,6,False
2012-10-02,9,False
2012-10-03,13,False
2012-10-04,20,False
2012-10-05,7,False
2012-10-06,9,False
2012-10-07,16,False
2012-10-08,6,False
2012-10-09,6,False
2012-10-10,13,False
2012-10-11,6,False
2012-10-12,10,False
2012-10-13,0,False
2012-10-14,0,False
2012-10-15,12,False
2012-10-16,28,False
2012-10-17,13,False
2012-10-18,6,False
2012-10-19,10,False
2012-10-20,9,False
2012-10-21,0,False
2012-10-22,6,False
2012-10-23,25,False
2012-10-24,19,False
2012-10-25,20,False
2012-10-26,17,False
2012-10-27,8,False
2012-10-28,7,False
2012-10-29,6,False
2012-10-30,0,False
2012-10-31,0,False
2012-11-01,7,False
2012-11-02,10,False
2012-11-03,34,False
2012-11-04,16,False
2012-11-05,57,False
2012-11-06,100,False
