date,obama,isPartial
2012-08-06,16,False
2012-08-07,8,False
2012-08-08,24,False
2012-08-09,20,False
2012-08-10,19,False
2012-08-11,19,False
2012-08-12,14,False
2012-08-13,9,False
2012-08-14,11,False
2012-08-15,15,False
2012-08-16,15,False
2012-08-17,14,False
2012-08-18,13,False
2012-08-19,9,False
2012-08-20,9,False
2012-08-21,13,False
2012-08-22,15,False
2012-08-23,19,False
2012-08-24,15,False
2012-08-25,23,False
2012-08-26,22,False
2012-08-27,21,False
2012-08-28,39,False
2012-08-29,38,False
2012-08-30,36,False
2012-08-31,31,False
2012-09-01,21,False
2012-09-02,40,False
2012-09-03,27,False
2012-09-04,23,False
2012-09-05,57,False
2012-09-06,50,False
2012-09-07,71,False
2012-09-08,29,False
2012-09-09,23,False
2012-09-10,27,False
2012-09-11,23,False
2012-09-12,30,False
2012-09-13,34,False
2012-09-14,25,False
2012-09-15,15,False
2012-09-16,19,False
2012-09-17,22,False
2012-09-18,21,False
2012-09-19,24,False
2012-09-20,26,False
2012-09-21,23,False
2012-09-22,16,False
2012-09-23,20,False
2012-09-24,21,False
2012-09-25,25,False
2012-09-26,26,False
2012-09-27,23,False
2012-09-28,29,False
2012-09-29,22,False
2012-09-30,20,False
2012-10-01,29,False
2012-10-02,30,False
2012-10-03,50,False
2012-10-04,79,False
2012-10-05,38,False
2012-10-06,29,False
2012-10-07,29,False
2012-10-08,31,False
2012-10-09,29,False
2012-10-10,33,False
2012-10-11,29,False
2012-10-12,24,False
2012-10-13,32,False
2012-10-14,19,False
2012-10-15,21,False
2012-10-16,21,False
2012-10-17,68,False
2012-10-18,33,False
2012-10-19,35,False
2012-10-20,27,False
2012-10-21,25,False
2012-10-22,30,False
2012-10-23,73,False
2012-10-24,56,False
2012-10-25,43,False
2012-10-26,38,False
2012-10-27,33,False
2012-10-28,31,False
2012-10-29,30,False
2012-10-30,34,False
2012-10-31,39,False
2012-11-01,52,False
2012-11-02,64,False
2012-11-03,51,False
2012-11-04,57,False
2012-11-05,72,False
2012-11-06,100,False
