date,obama,isPartial
2012-08-06,8,False
2012-08-07,13,False
2012-08-08,13,False
2012-08-09,13,False
2012-08-10,13,False
2012-08-11,17,False
2012-08-12,16,False
2012-08-13,14,False
2012-08-14,15,False
2012-08-15,15,False
2012-08-16,15,False
2012-08-17,15,False
2012-08-18,8,False
2012-08-19,14,False
2012-08-20,15,False
2012-08-21,12,False
2012-08-22,13,False
2012-08-23,10,False
2012-08-24,17,False
2012-08-25,16,False
2012-08-26,15,False
2012-08-27,15,False
2012-08-28,18,False
2012-08-29,29,False
2012-08-30,24,False
2012-08-31,28,False
2012-09-01,22,False
2012-09-02,17,False
2012-09-03,21,False
2012-09-04,26,False
2012-09-05,64,False
2012-09-06,42,False
2012-09-07,71,False
2012-09-08,26,False
2012-09-09,22,False
2012-09-10,24,False
2012-09-11,21,False
2012-09-12,22,False
2012-09-13,28,False
2012-09-14,21,False
2012-09-15,23,False
2012-09-16,19,False
2012-09-17,16,False
2012-09-18,22,False
2012-09-19,26,False
2012-09-20,24,False
2012-09-21,31,False
2012-09-22,14,False
2012-09-23,19,False
2012-09-24,22,False
2012-09-25,23,False
2012-09-26,24,False
2012-09-27,28,False
2012-09-28,23,False
2012-09-29,21,False
2012-09-30,20,False
2012-10-01,21,False
2012-10-02,21,False
2012-10-03,34,False
2012-10-04,81,False
2012-10-05,38,False
2012-10-06,27,False
2012-10-07,24,False
2012-10-08,23,False
2012-10-09,23,False
2012-10-10,23,False
2012-10-11,25,False
2012-10-12,24,False
2012-10-13,23,False
2012-10-14,22,False
2012-10-15,22,False
2012-10-16,25,False
2012-10-17,73,False
2012-10-18,38,False
2012-10-19,43,False
2012-10-20,32,False
2012-10-21,34,False
2012-10-22,28,False
2012-10-23,69,False
2012-10-24,50,False
2012-10-25,56,False
2012-10-26,42,False
2012-10-27,39,False
2012-10-28,28,False
2012-10-29,22,False
2012-10-30,26,False
2012-10-31,38,False
2012-11-01,39,False
2012-11-02,47,False
2012-11-03,51,False
2012-11-04,52,False
2012-11-05,64,False
2012-11-06,100,False
