date,vote obama,isPartial
2012-08-06,7,False
2012-08-07,7,False
2012-08-08,14,False
2012-08-09,10,False
2012-08-10,7,False
2012-08-11,0,False
2012-08-12,8,False
2012-08-13,13,False
2012-08-14,0,False
2012-08-15,14,False
2012-08-16,7,False
2012-08-17,0,False
2012-08-18,0,False
2012-08-19,9,False
2012-08-20,0,False
2012-08-21,7,False
2012-08-22,0,False
2012-08-23,7,False
2012-08-24,7,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,7,False
2012-08-29,0,False
2012-08-30,0,False
2012-08-31,14,False
2012-09-01,0,False
2012-09-02,13,False
2012-09-03,7,False
2012-09-04,0,False
2012-09-05,16,False
2012-09-06,26,False
2012-09-07,10,False
2012-09-08,12,False
2012-09-09,8,False
2012-09-10,0,False
2012-09-11,6,False
2012-09-12,0,False
2012-09-13,6,False
2012-09-14,0,False
2012-09-15,0,False
2012-09-16,15,False
2012-09-17,0,False
2012-09-18,12,False
2012-09-19,0,False
2012-09-20,13,False
2012-09-21,0,False
2012-09-22,9,False
2012-09-23,0,False
2012-09-24,16,False
2012-09-25,0,False
2012-09-26,0,False
2012-09-27,13,False
2012-09-28,0,False
2012-09-29,0,False
2012-09-30,0,False
2012-10-01,13,False
2012-10-02,0,False
2012-10-03,19,False
2012-10-04,10,False
2012-10-05,0,False
2012-10-06,9,False
2012-10-07,17,False
2012-10-08,13,False
2012-10-09,17,False
2012-10-10,13,False
2012-10-11,20,False
2012-10-12,10,False
2012-10-13,18,False
2012-10-14,17,False
2012-10-15,0,False
2012-10-16,13,False
2012-10-17,16,False
2012-10-18,23,False
2012-10-19,7,False
2012-10-20,0,False
2012-10-21,0,False
2012-10-22,7,False
2012-10-23,25,False
2012-10-24,21,False
2012-10-25,12,False
2012-10-26,12,False
2012-10-27,15,False
2012-10-28,14,False
2012-10-29,11,False
2012-10-30,9,False
2012-10-31,13,False
2012-11-01,7,False
2012-11-02,7,False
2012-11-03,29,False
2012-11-04,27,False
2012-11-05,57,False
2012-11-06,100,False
