date,obama,isPartial
2012-08-06,14,False
2012-08-07,7,False
2012-08-08,14,False
2012-08-09,7,False
2012-08-10,22,False
2012-08-11,16,False
2012-08-12,18,False
2012-08-13,31,False
2012-08-14,34,False
2012-08-15,44,False
2012-08-16,21,False
2012-08-17,23,False
2012-08-18,9,False
2012-08-19,6,False
2012-08-20,11,False
2012-08-21,11,False
2012-08-22,13,False
2012-08-23,20,False
2012-08-24,20,False
2012-08-25,8,False
2012-08-26,11,False
2012-08-27,24,False
2012-08-28,45,False
2012-08-29,32,False
2012-08-30,39,False
2012-08-31,35,False
2012-09-01,26,False
2012-09-02,37,False
2012-09-03,23,False
2012-09-04,23,False
2012-09-05,63,False
2012-09-06,25,False
2012-09-07,91,False
2012-09-08,55,False
2012-09-09,14,False
2012-09-10,20,False
2012-09-11,26,False
2012-09-12,22,False
2012-09-13,24,False
2012-09-14,17,False
2012-09-15,6,False
2012-09-16,11,False
2012-09-17,14,False
2012-09-18,30,False
2012-09-19,17,False
2012-09-20,15,False
2012-09-21,15,False
2012-09-22,38,False
2012-09-23,14,False
2012-09-24,22,False
2012-09-25,26,False
2012-09-26,33,False
2012-09-27,17,False
2012-09-28,24,False
2012-09-29,13,False
2012-09-30,15,False
2012-10-01,21,False
2012-10-02,22,False
2012-10-03,34,False
2012-10-04,45,False
2012-10-05,50,False
2012-10-06,23,False
2012-10-07,29,False
2012-10-08,19,False
2012-10-09,11,False
2012-10-10,15,False
2012-10-11,14,False
2012-10-12,33,False
2012-10-13,13,False
2012-10-14,22,False
2012-10-15,25,False
2012-10-16,24,False
2012-10-17,77,False
2012-10-18,52,False
2012-10-19,47,False
2012-10-20,19,False
2012-10-21,22,False
2012-10-22,31,False
2012-10-23,58,False
2012-10-24,53,False
2012-10-25,31,False
2012-10-26,31,False
2012-10-27,28,False
2012-10-28,28,False
2012-10-29,37,False
2012-10-30,34,False
2012-10-31,27,False
2012-11-01,52,False
2012-11-02,39,False
2012-11-03,57,False
2012-11-04,54,False
2012-11-05,83,False
2012-11-06,100,False
