date,obama,isPartial
2012-08-06,8,False
2012-08-07,10,False
2012-08-08,8,False
2012-08-09,9,False
2012-08-10,9,False
2012-08-11,12,False
2012-08-12,13,False
2012-08-13,11,False
2012-08-14,10,False
2012-08-15,12,False
2012-08-16,11,False
2012-08-17,14,False
2012-08-18,6,False
2012-08-19,9,False
2012-08-20,8,False
2012-08-21,14,False
2012-08-22,13,False
2012-08-23,11,False
2012-08-24,9,False
2012-08-25,12,False
2012-08-26,12,False
2012-08-27,12,False
2012-08-28,13,False
2012-08-29,16,False
2012-08-30,18,False
2012-08-31,27,False
2012-09-01,13,False
2012-09-02,15,False
2012-09-03,16,False
2012-09-04,19,False
2012-09-05,42,False
2012-09-06,35,False
2012-09-07,53,False
2012-09-08,30,False
2012-09-09,17,False
2012-09-10,21,False
2012-09-11,18,False
2012-09-12,20,False
2012-09-13,19,False
2012-09-14,21,False
2012-09-15,14,False
2012-09-16,19,False
2012-09-17,23,False
2012-09-18,16,False
2012-09-19,23,False
2012-09-20,26,False
2012-09-21,26,False
2012-09-22,14,False
2012-09-23,20,False
2012-09-24,23,False
2012-09-25,21,False
2012-09-26,28,False
2012-09-27,27,False
2012-09-28,26,False
2012-09-29,20,False
2012-09-30,21,False
2012-10-01,23,False
2012-10-02,27,False
2012-10-03,33,False
2012-10-04,62,False
2012-10-05,41,False
2012-10-06,25,False
2012-10-07,21,False
2012-10-08,23,False
2012-10-09,36,False
2012-10-10,27,False
2012-10-11,22,False
2012-10-12,27,False
2012-10-13,21,False
2012-10-14,22,False
2012-10-15,25,False
2012-10-16,29,False
2012-10-17,62,False
2012-10-18,39,False
2012-10-19,31,False
2012-10-20,26,False
2012-10-21,25,False
2012-10-22,28,False
2012-10-23,60,False
2012-10-24,45,False
2012-10-25,49,False
2012-10-26,45,False
2012-10-27,25,False
2012-10-28,28,False
2012-10-29,32,False
2012-10-30,32,False
2012-10-31,33,False
2012-11-01,41,False
2012-11-02,59,False
2012-11-03,47,False
2012-11-04,51,False
2012-11-05,76,False
2012-11-06,100,False
