date,vote obama,isPartial
2012-08-06,6,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,6,False
2012-08-10,3,False
2012-08-11,5,False
2012-08-12,9,False
2012-08-13,3,False
2012-08-14,3,False
2012-08-15,4,False
2012-08-16,3,False
2012-08-17,3,False
2012-08-18,6,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,3,False
2012-08-22,4,False
2012-08-23,5,False
2012-08-24,3,False
2012-08-25,3,False
2012-08-26,3,False
2012-08-27,2,False
2012-08-28,3,False
2012-08-29,3,False
2012-08-30,5,False
2012-08-31,14,False
2012-09-01,4,False
2012-09-02,6,False
2012-09-03,9,False
2012-09-04,9,False
2012-09-05,6,False
2012-09-06,9,False
2012-09-07,10,False
2012-09-08,11,False
2012-09-09,4,False
2012-09-10,5,False
2012-09-11,6,False
2012-09-12,3,False
2012-09-13,3,False
2012-09-14,10,False
2012-09-15,8,False
2012-09-16,0,False
2012-09-17,3,False
2012-09-18,0,False
2012-09-19,6,False
2012-09-20,7,False
2012-09-21,3,False
2012-09-22,6,False
2012-09-23,0,False
2012-09-24,10,False
2012-09-25,7,False
2012-09-26,3,False
2012-09-27,7,False
2012-09-28,3,False
2012-09-29,4,False
2012-09-30,8,False
2012-10-01,10,False
2012-10-02,9,False
2012-10-03,8,False
2012-10-04,17,False
2012-10-05,0,False
2012-10-06,8,False
2012-10-07,7,False
2012-10-08,5,False
2012-10-09,9,False
2012-10-10,19,False
2012-10-11,6,False
2012-10-12,5,False
2012-10-13,4,False
2012-10-14,7,False
2012-10-15,9,False
2012-10-16,8,False
2012-10-17,25,False
2012-10-18,16,False
2012-10-19,10,False
2012-10-20,6,False
2012-10-21,12,False
2012-10-22,8,False
2012-10-23,16,False
2012-10-24,9,False
2012-10-25,6,False
2012-10-26,11,False
2012-10-27,15,False
2012-10-28,15,False
2012-10-29,19,False
2012-10-30,14,False
2012-10-31,26,False
2012-11-01,17,False
2012-11-02,29,False
2012-11-03,34,False
2012-11-04,33,False
2012-11-05,38,False
2012-11-06,100,False
