date,hillary
2016-08-07,11
2016-08-08,13
2016-08-09,10
2016-08-10,18
2016-08-11,17
2016-08-12,8
2016-08-13,4
2016-08-14,14
2016-08-15,3
2016-08-16,8
2016-08-17,8
2016-08-18,4
2016-08-19,12
2016-08-20,9
2016-08-21,11
2016-08-22,12
2016-08-23,11
2016-08-24,12
2016-08-25,15
2016-08-26,11
2016-08-27,6
2016-08-28,8
2016-08-29,6
2016-08-30,16
2016-08-31,6
2016-09-01,11
2016-09-02,7
2016-09-03,10
2016-09-04,14
2016-09-05,13
2016-09-06,15
2016-09-07,6
2016-09-08,11
2016-09-09,12
2016-09-10,17
2016-09-11,44
2016-09-12,61
2016-09-13,42
2016-09-14,32
2016-09-15,18
2016-09-16,21
2016-09-17,10
2016-09-18,16
2016-09-19,17
2016-09-20,10
2016-09-21,13
2016-09-22,20
2016-09-23,14
2016-09-24,16
2016-09-25,10
2016-09-26,11
2016-09-27,66
2016-09-28,36
2016-09-29,22
2016-09-30,21
2016-10-01,16
2016-10-02,20
2016-10-03,10
2016-10-04,8
2016-10-05,19
2016-10-06,6
2016-10-07,7
2016-10-08,18
2016-10-09,15
2016-10-10,58
2016-10-11,30
2016-10-12,35
2016-10-13,26
2016-10-14,21
2016-10-15,12
2016-10-16,20
2016-10-17,16
2016-10-18,21
2016-10-19,20
2016-10-20,59
2016-10-21,31
2016-10-22,26
2016-10-23,16
2016-10-24,18
2016-10-25,16
2016-10-26,23
2016-10-27,19
2016-10-28,42
2016-10-29,54
2016-10-30,31
2016-10-31,41
2016-11-01,39
2016-11-02,40
2016-11-03,31
2016-11-04,48
2016-11-05,30
2016-11-06,41
2016-11-07,55
2016-11-08,100
