date,hillary
2016-08-07,11
2016-08-08,11
2016-08-09,13
2016-08-10,16
2016-08-11,15
2016-08-12,11
2016-08-13,8
2016-08-14,9
2016-08-15,7
2016-08-16,10
2016-08-17,9
2016-08-18,7
2016-08-19,10
2016-08-20,7
2016-08-21,9
2016-08-22,11
2016-08-23,15
2016-08-24,8
2016-08-25,9
2016-08-26,10
2016-08-27,9
2016-08-28,10
2016-08-29,7
2016-08-30,7
2016-08-31,6
2016-09-01,7
2016-09-02,5
2016-09-03,6
2016-09-04,7
2016-09-05,11
2016-09-06,12
2016-09-07,12
2016-09-08,15
2016-09-09,9
2016-09-10,9
2016-09-11,39
2016-09-12,50
2016-09-13,39
2016-09-14,24
2016-09-15,21
2016-09-16,14
2016-09-17,14
2016-09-18,14
2016-09-19,15
2016-09-20,13
2016-09-21,13
2016-09-22,14
2016-09-23,14
2016-09-24,14
2016-09-25,13
2016-09-26,17
2016-09-27,70
2016-09-28,24
2016-09-29,19
2016-09-30,20
2016-10-01,17
2016-10-02,17
2016-10-03,16
2016-10-04,17
2016-10-05,15
2016-10-06,17
2016-10-07,17
2016-10-08,22
2016-10-09,22
2016-10-10,60
2016-10-11,31
2016-10-12,28
2016-10-13,24
2016-10-14,25
2016-10-15,20
2016-10-16,18
2016-10-17,16
2016-10-18,20
2016-10-19,21
2016-10-20,49
2016-10-21,27
2016-10-22,18
2016-10-23,22
2016-10-24,17
2016-10-25,18
2016-10-26,22
2016-10-27,20
2016-10-28,33
2016-10-29,39
2016-10-30,26
2016-10-31,33
2016-11-01,34
2016-11-02,41
2016-11-03,37
2016-11-04,42
2016-11-05,36
2016-11-06,49
2016-11-07,59
2016-11-08,100
