date,hillary
2016-08-07,9
2016-08-08,6
2016-08-09,15
2016-08-10,13
2016-08-11,12
2016-08-12,12
2016-08-13,13
2016-08-14,8
2016-08-15,10
2016-08-16,10
2016-08-17,9
2016-08-18,9
2016-08-19,9
2016-08-20,9
2016-08-21,12
2016-08-22,15
2016-08-23,13
2016-08-24,10
2016-08-25,9
2016-08-26,12
2016-08-27,7
2016-08-28,8
2016-08-29,6
2016-08-30,10
2016-08-31,7
2016-09-01,8
2016-09-02,11
2016-09-03,12
2016-09-04,14
2016-09-05,15
2016-09-06,13
2016-09-07,13
2016-09-08,14
2016-09-09,12
2016-09-10,12
2016-09-11,43
2016-09-12,66
2016-09-13,38
2016-09-14,29
2016-09-15,19
2016-09-16,19
2016-09-17,16
2016-09-18,13
2016-09-19,13
2016-09-20,14
2016-09-21,15
2016-09-22,13
2016-09-23,15
2016-09-24,13
2016-09-25,14
2016-09-26,17
2016-09-27,89
2016-09-28,25
2016-09-29,25
2016-09-30,16
2016-10-01,19
2016-10-02,22
2016-10-03,17
2016-10-04,18
2016-10-05,19
2016-10-06,13
2016-10-07,11
2016-10-08,21
2016-10-09,22
2016-10-10,45
2016-10-11,33
2016-10-12,24
2016-10-13,19
2016-10-14,19
2016-10-15,22
2016-10-16,20
2016-10-17,22
2016-10-18,23
2016-10-19,27
2016-10-20,50
2016-10-21,27
2016-10-22,26
2016-10-23,23
2016-10-24,16
2016-10-25,16
2016-10-26,24
2016-10-27,22
2016-10-28,31
2016-10-29,50
2016-10-30,42
2016-10-31,42
2016-11-01,32
2016-11-02,39
2016-11-03,39
2016-11-04,43
2016-11-05,32
2016-11-06,39
2016-11-07,56
2016-11-08,100
