date,hillary
2016-08-07,13
2016-08-08,12
2016-08-09,13
2016-08-10,15
2016-08-11,12
2016-08-12,12
2016-08-13,8
2016-08-14,10
2016-08-15,10
2016-08-16,12
2016-08-17,9
2016-08-18,8
2016-08-19,8
2016-08-20,10
2016-08-21,9
2016-08-22,13
2016-08-23,11
2016-08-24,11
2016-08-25,10
2016-08-26,9
2016-08-27,9
2016-08-28,8
2016-08-29,6
2016-08-30,8
2016-08-31,9
2016-09-01,8
2016-09-02,8
2016-09-03,7
2016-09-04,9
2016-09-05,9
2016-09-06,12
2016-09-07,11
2016-09-08,16
2016-09-09,11
2016-09-10,9
2016-09-11,41
2016-09-12,51
2016-09-13,36
2016-09-14,25
2016-09-15,19
2016-09-16,17
2016-09-17,13
2016-09-18,9
2016-09-19,13
2016-09-20,12
2016-09-21,16
2016-09-22,16
2016-09-23,18
2016-09-24,15
2016-09-25,15
2016-09-26,18
2016-09-27,76
2016-09-28,26
2016-09-29,21
2016-09-30,20
2016-10-01,18
2016-10-02,19
2016-10-03,18
2016-10-04,21
2016-10-05,17
2016-10-06,13
2016-10-07,14
2016-10-08,25
2016-10-09,24
2016-10-10,59
2016-10-11,28
2016-10-12,25
2016-10-13,27
2016-10-14,23
2016-10-15,19
2016-10-16,20
2016-10-17,18
2016-10-18,22
2016-10-19,26
2016-10-20,58
2016-10-21,31
2016-10-22,23
2016-10-23,22
2016-10-24,20
2016-10-25,19
2016-10-26,20
2016-10-27,23
2016-10-28,39
2016-10-29,43
2016-10-30,38
2016-10-31,33
2016-11-01,32
2016-11-02,40
2016-11-03,39
2016-11-04,40
2016-11-05,42
2016-11-06,46
2016-11-07,63
2016-11-08,100
