date,hillary
2016-08-07,10
2016-08-08,16
2016-08-09,15
2016-08-10,21
2016-08-11,18
2016-08-12,20
2016-08-13,14
2016-08-14,12
2016-08-15,11
2016-08-16,10
2016-08-17,9
2016-08-18,10
2016-08-19,12
2016-08-20,6
2016-08-21,6
2016-08-22,19
2016-08-23,17
2016-08-24,11
2016-08-25,13
2016-08-26,12
2016-08-27,10
2016-08-28,12
2016-08-29,11
2016-08-30,12
2016-08-31,14
2016-09-01,11
2016-09-02,14
2016-09-03,8
2016-09-04,10
2016-09-05,14
2016-09-06,13
2016-09-07,17
2016-09-08,17
2016-09-09,12
2016-09-10,14
2016-09-11,57
2016-09-12,51
2016-09-13,43
2016-09-14,34
2016-09-15,20
2016-09-16,17
2016-09-17,16
2016-09-18,15
2016-09-19,15
2016-09-20,18
2016-09-21,15
2016-09-22,12
2016-09-23,20
2016-09-24,13
2016-09-25,15
2016-09-26,19
2016-09-27,70
2016-09-28,41
2016-09-29,23
2016-09-30,18
2016-10-01,23
2016-10-02,16
2016-10-03,18
2016-10-04,20
2016-10-05,17
2016-10-06,10
2016-10-07,13
2016-10-08,14
2016-10-09,18
2016-10-10,57
2016-10-11,28
2016-10-12,34
2016-10-13,43
2016-10-14,26
2016-10-15,27
2016-10-16,19
2016-10-17,27
2016-10-18,28
2016-10-19,32
2016-10-20,82
2016-10-21,32
2016-10-22,32
2016-10-23,29
2016-10-24,19
2016-10-25,26
2016-10-26,25
2016-10-27,24
2016-10-28,44
2016-10-29,57
2016-10-30,34
2016-10-31,43
2016-11-01,43
2016-11-02,47
2016-11-03,42
2016-11-04,47
2016-11-05,48
2016-11-06,55
2016-11-07,49
2016-11-08,100
