date,hillary
2016-08-07,9
2016-08-08,13
2016-08-09,17
2016-08-10,12
2016-08-11,15
2016-08-12,11
2016-08-13,20
2016-08-14,11
2016-08-15,17
2016-08-16,7
2016-08-17,16
2016-08-18,12
2016-08-19,11
2016-08-20,7
2016-08-21,8
2016-08-22,16
2016-08-23,11
2016-08-24,11
2016-08-25,13
2016-08-26,13
2016-08-27,11
2016-08-28,11
2016-08-29,14
2016-08-30,7
2016-08-31,14
2016-09-01,12
2016-09-02,10
2016-09-03,7
2016-09-04,13
2016-09-05,13
2016-09-06,19
2016-09-07,11
2016-09-08,19
2016-09-09,10
2016-09-10,15
2016-09-11,49
2016-09-12,57
2016-09-13,45
2016-09-14,33
2016-09-15,23
2016-09-16,23
2016-09-17,15
2016-09-18,19
2016-09-19,19
2016-09-20,13
2016-09-21,20
2016-09-22,16
2016-09-23,30
2016-09-24,25
2016-09-25,10
2016-09-26,23
2016-09-27,85
2016-09-28,41
2016-09-29,34
2016-09-30,27
2016-10-01,28
2016-10-02,29
2016-10-03,14
2016-10-04,20
2016-10-05,23
2016-10-06,19
2016-10-07,19
2016-10-08,19
2016-10-09,27
2016-10-10,70
2016-10-11,30
2016-10-12,26
2016-10-13,27
2016-10-14,37
2016-10-15,22
2016-10-16,23
2016-10-17,29
2016-10-18,29
2016-10-19,28
2016-10-20,63
2016-10-21,43
2016-10-22,30
2016-10-23,24
2016-10-24,33
2016-10-25,27
2016-10-26,28
2016-10-27,37
2016-10-28,66
2016-10-29,54
2016-10-30,42
2016-10-31,43
2016-11-01,51
2016-11-02,39
2016-11-03,51
2016-11-04,46
2016-11-05,42
2016-11-06,35
2016-11-07,66
2016-11-08,100
