date,final_score
2012-10-18,125.40686274509804
2012-10-19,129.56951423785594
2012-10-20,122.52799999999999
2012-10-21,121.28260869565217
2012-10-22,122.58333333333333
2012-10-23,127.53744493392071
2012-10-24,127.8840579710145
2012-10-25,134.3391472868217
2012-10-26,114.16666666666666
2012-10-27,116.91666666666667
2012-10-28,107.38738738738739
2012-10-29,123.79684418145956
2012-10-30,73.16747572815534
2012-10-31,134.07421875
2012-11-01,117.0529411764706
2012-11-02,71.16629213483145
2012-11-03,83.86054421768708
2012-11-04,120.29243827160494
