,Unnamed: 0,date,score
0,0,2016-10-08,0.9066937119675456
1,1,2016-10-09,0.7864476386036962
2,2,2016-10-10,0.9188640973630832
3,3,2016-10-11,0.9710144927536232
4,4,2016-10-12,1.0369515011547343
5,5,2016-10-13,1.0300925925925926
6,6,2016-10-14,0.76905311778291
7,7,2016-10-15,0.8643326039387309
8,8,2016-10-16,0.9652351738241308
9,9,2016-10-17,0.9766949152542372
10,10,2016-10-18,0.7754569190600522
11,11,2016-10-19,0.9657142857142856
12,12,2016-10-20,0.9377777777777778
13,13,2016-10-21,0.8920086393088553
14,14,2016-10-22,0.6890380313199105
15,15,2016-10-23,0.8278688524590164
16,16,2016-10-24,0.7791666666666667
17,17,2016-10-25,1.0903490759753591
18,18,2016-10-26,0.3866396761133603
19,19,2016-10-27,0.8628318584070797
20,20,2016-10-28,0.9864559819413092
21,21,2016-10-29,0.6189473684210526
22,22,2016-10-30,0.5220125786163522
23,23,2016-10-31,0.8806306306306306
24,24,2016-11-01,0.4716599190283401
25,25,2016-11-02,0.7682539682539683
26,26,2016-11-03,0.5149572649572649
27,27,2016-11-04,0.9209401709401708
28,28,2016-11-05,0.9351464435146444
29,29,2016-11-06,0.5413223140495868
