date,biden covid,isPartial
2020-05-27,31,False
2020-05-28,31,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,0,False
2020-06-02,32,False
2020-06-03,61,False
2020-06-04,30,False
2020-06-05,31,False
2020-06-06,0,False
2020-06-07,36,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,32,False
2020-06-12,33,False
2020-06-13,0,False
2020-06-14,37,False
2020-06-15,65,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,100,False
2020-06-20,0,False
2020-06-21,0,False
2020-06-22,0,False
2020-06-23,32,False
2020-06-24,50,False
2020-06-25,51,False
2020-06-26,35,False
2020-06-27,37,False
2020-06-28,37,False
2020-06-29,0,False
2020-06-30,52,False
2020-07-01,70,False
2020-07-02,35,False
2020-07-03,38,False
2020-07-04,0,False
2020-07-05,41,False
2020-07-06,0,False
2020-07-07,36,False
2020-07-08,36,False
2020-07-09,36,False
2020-07-10,36,False
2020-07-11,41,False
