date,biden covid,isPartial
2020-05-27,15,False
2020-05-28,22,False
2020-05-29,16,False
2020-05-30,10,False
2020-05-31,19,False
2020-06-01,14,False
2020-06-02,13,False
2020-06-03,12,False
2020-06-04,10,False
2020-06-05,15,False
2020-06-06,11,False
2020-06-07,16,False
2020-06-08,15,False
2020-06-09,13,False
2020-06-10,9,False
2020-06-11,12,False
2020-06-12,14,False
2020-06-13,12,False
2020-06-14,19,False
2020-06-15,17,False
2020-06-16,12,False
2020-06-17,15,False
2020-06-18,8,False
2020-06-19,11,False
2020-06-20,10,False
2020-06-21,30,False
2020-06-22,17,False
2020-06-23,22,False
2020-06-24,26,False
2020-06-25,39,False
2020-06-26,100,False
2020-06-27,58,False
2020-06-28,34,False
2020-06-29,27,False
2020-06-30,34,False
2020-07-01,34,False
2020-07-02,29,False
2020-07-03,29,False
2020-07-04,23,False
2020-07-05,21,False
2020-07-06,24,False
2020-07-07,27,False
2020-07-08,23,False
2020-07-09,26,False
2020-07-10,30,False
2020-07-11,20,False
