date,trump immigration,isPartial
2016-08-07,7,False
2016-08-08,6,False
2016-08-09,6,False
2016-08-10,6,False
2016-08-11,0,False
2016-08-12,0,False
2016-08-13,0,False
2016-08-14,15,False
2016-08-15,13,False
2016-08-16,13,False
2016-08-17,6,False
2016-08-18,6,False
2016-08-19,11,False
2016-08-20,14,False
2016-08-21,17,False
2016-08-22,17,False
2016-08-23,16,False
2016-08-24,16,False
2016-08-25,38,False
2016-08-26,16,False
2016-08-27,34,False
2016-08-28,7,False
2016-08-29,14,False
2016-08-30,11,False
2016-08-31,46,False
2016-09-01,100,False
2016-09-02,33,False
2016-09-03,23,False
2016-09-04,7,False
2016-09-05,10,False
2016-09-06,15,False
2016-09-07,9,False
2016-09-08,0,False
2016-09-09,9,False
2016-09-10,0,False
2016-09-11,0,False
2016-09-12,0,False
2016-09-13,11,False
2016-09-14,11,False
2016-09-15,11,False
2016-09-16,0,False
2016-09-17,7,False
2016-09-18,6,False
2016-09-19,11,False
2016-09-20,8,False
2016-09-21,11,False
2016-09-22,0,False
2016-09-23,6,False
2016-09-24,0,False
2016-09-25,6,False
2016-09-26,16,False
2016-09-27,14,False
2016-09-28,6,False
2016-09-29,17,False
2016-09-30,18,False
2016-10-01,7,False
2016-10-02,7,False
2016-10-03,8,False
2016-10-04,7,False
2016-10-05,6,False
2016-10-06,6,False
2016-10-07,6,False
2016-10-08,7,False
2016-10-09,7,False
2016-10-10,6,False
2016-10-11,9,False
2016-10-12,10,False
2016-10-13,6,False
2016-10-14,9,False
2016-10-15,0,False
2016-10-16,0,False
2016-10-17,8,False
2016-10-18,6,False
2016-10-19,8,False
2016-10-20,9,False
2016-10-21,12,False
2016-10-22,14,False
2016-10-23,14,False
2016-10-24,28,False
2016-10-25,6,False
2016-10-26,9,False
2016-10-27,14,False
2016-10-28,6,False
2016-10-29,14,False
2016-10-30,7,False
2016-10-31,6,False
2016-11-01,10,False
2016-11-02,16,False
2016-11-03,5,False
2016-11-04,5,False
2016-11-05,9,False
2016-11-06,6,False
2016-11-07,16,False
2016-11-08,14,False
