,score,date
152,2,2012-10-18 12:48:29+00:00
153,2,2012-10-18 12:47:58+00:00
154,2,2012-10-18 12:47:13+00:00
155,2,2012-10-18 12:45:29+00:00
156,2,2012-10-18 12:45:15+00:00
157,2,2012-10-18 12:43:43+00:00
158,2,2012-10-18 12:42:38+00:00
159,1,2012-10-18 12:42:02+00:00
160,2,2012-10-18 12:41:41+00:00
161,2,2012-10-18 12:41:31+00:00
162,2,2012-10-18 12:39:48+00:00
163,2,2012-10-18 12:39:46+00:00
164,2,2012-10-18 12:39:24+00:00
165,2,2012-10-18 12:39:07+00:00
166,2,2012-10-18 12:38:34+00:00
167,2,2012-10-18 12:37:37+00:00
168,2,2012-10-18 12:37:35+00:00
169,2,2012-10-18 12:37:29+00:00
170,2,2012-10-18 12:37:17+00:00
171,2,2012-10-18 12:36:50+00:00
172,2,2012-10-18 12:36:29+00:00
173,2,2012-10-18 12:36:27+00:00
174,2,2012-10-18 12:36:08+00:00
175,1,2012-10-18 12:25:04+00:00
176,1,2012-10-18 12:12:57+00:00
177,1,2012-10-18 11:50:32+00:00
178,1,2012-10-18 11:46:14+00:00
179,1,2012-10-18 11:45:56+00:00
180,1,2012-10-18 09:51:49+00:00
181,1,2012-10-18 09:06:24+00:00
182,1,2012-10-18 08:57:24+00:00
183,1,2012-10-18 08:40:15+00:00
184,1,2012-10-18 08:28:43+00:00
185,1,2012-10-18 08:25:54+00:00
186,1,2012-10-18 08:15:29+00:00
187,1,2012-10-18 06:38:48+00:00
188,1,2012-10-18 06:34:40+00:00
189,1,2012-10-18 04:53:03+00:00
190,1,2012-10-18 04:50:26+00:00
191,1,2012-10-18 04:34:52+00:00
192,1,2012-10-18 04:34:07+00:00
193,1,2012-10-18 04:34:05+00:00
194,1,2012-10-18 04:20:34+00:00
195,0,2012-10-18 04:17:56+00:00
196,2,2012-10-18 04:08:30+00:00
197,1,2012-10-18 04:01:51+00:00
198,1,2012-10-18 03:58:33+00:00
199,1,2012-10-18 03:57:05+00:00
200,1,2012-10-18 03:53:00+00:00
201,1,2012-10-18 03:42:28+00:00
202,1,2012-10-18 03:02:12+00:00
203,1,2012-10-18 03:01:10+00:00
204,1,2012-10-18 02:53:50+00:00
205,1,2012-10-18 02:50:10+00:00
206,1,2012-10-18 02:47:06+00:00
207,1,2012-10-18 02:38:47+00:00
208,1,2012-10-18 02:33:28+00:00
209,0,2012-10-18 02:26:38+00:00
210,1,2012-10-18 02:25:10+00:00
211,1,2012-10-18 02:23:36+00:00
212,1,2012-10-18 02:23:26+00:00
213,1,2012-10-18 02:21:13+00:00
214,1,2012-10-18 02:19:00+00:00
215,1,2012-10-18 02:18:38+00:00
216,1,2012-10-18 02:09:42+00:00
217,1,2012-10-18 02:01:38+00:00
218,1,2012-10-18 01:57:05+00:00
219,1,2012-10-18 01:56:11+00:00
220,0,2012-10-18 01:55:21+00:00
221,1,2012-10-18 01:48:14+00:00
222,1,2012-10-18 01:47:36+00:00
223,2,2012-10-18 01:47:13+00:00
224,2,2012-10-18 01:45:14+00:00
225,1,2012-10-18 01:43:57+00:00
226,1,2012-10-18 01:43:44+00:00
227,1,2012-10-18 01:43:02+00:00
228,1,2012-10-18 01:37:09+00:00
229,1,2012-10-18 01:30:23+00:00
230,1,2012-10-18 01:27:59+00:00
231,1,2012-10-18 01:17:29+00:00
232,1,2012-10-18 01:12:29+00:00
233,1,2012-10-18 01:12:17+00:00
234,1,2012-10-18 01:10:48+00:00
235,0,2012-10-18 01:08:32+00:00
236,0,2012-10-18 01:07:36+00:00
237,1,2012-10-18 01:03:08+00:00
238,1,2012-10-18 00:58:39+00:00
239,1,2012-10-18 00:55:22+00:00
240,1,2012-10-18 00:54:01+00:00
241,1,2012-10-18 00:52:38+00:00
242,1,2012-10-18 00:51:43+00:00
243,1,2012-10-18 00:51:24+00:00
244,1,2012-10-18 00:50:50+00:00
245,1,2012-10-18 00:47:59+00:00
246,1,2012-10-18 00:47:56+00:00
247,1,2012-10-18 00:46:52+00:00
248,1,2012-10-18 00:45:38+00:00
249,1,2012-10-18 00:39:50+00:00
250,1,2012-10-18 00:30:02+00:00
251,1,2012-10-18 00:20:20+00:00
252,2,2012-10-18 00:12:32+00:00
253,1,2012-10-18 00:11:14+00:00
254,1,2012-10-18 00:01:13+00:00
255,2,2012-10-19 23:48:18+00:00
256,2,2012-10-19 23:13:06+00:00
257,2,2012-10-19 23:11:54+00:00
258,2,2012-10-19 23:11:32+00:00
259,2,2012-10-19 23:00:44+00:00
260,2,2012-10-19 22:59:01+00:00
261,1,2012-10-19 22:58:37+00:00
262,2,2012-10-19 22:58:27+00:00
263,2,2012-10-19 22:57:18+00:00
264,2,2012-10-19 22:56:55+00:00
265,2,2012-10-19 22:56:54+00:00
266,2,2012-10-19 22:55:40+00:00
267,2,2012-10-19 22:53:57+00:00
268,2,2012-10-19 22:52:59+00:00
269,2,2012-10-19 22:52:04+00:00
270,1,2012-10-19 22:44:53+00:00
271,2,2012-10-19 22:43:36+00:00
272,2,2012-10-19 22:30:26+00:00
273,1,2012-10-19 22:29:09+00:00
274,2,2012-10-19 22:28:44+00:00
275,1,2012-10-19 22:25:00+00:00
276,1,2012-10-19 22:22:39+00:00
277,1,2012-10-19 22:14:24+00:00
278,2,2012-10-19 22:11:47+00:00
279,2,2012-10-19 21:55:15+00:00
280,2,2012-10-19 21:49:45+00:00
281,2,2012-10-19 21:45:40+00:00
282,2,2012-10-19 21:34:38+00:00
283,2,2012-10-19 21:33:49+00:00
284,2,2012-10-19 21:32:30+00:00
285,2,2012-10-19 21:23:31+00:00
286,1,2012-10-19 21:16:16+00:00
287,2,2012-10-19 21:12:46+00:00
288,1,2012-10-19 21:11:39+00:00
289,2,2012-10-19 21:02:05+00:00
290,2,2012-10-19 20:57:53+00:00
291,1,2012-10-19 20:55:20+00:00
292,2,2012-10-19 20:47:09+00:00
293,2,2012-10-19 20:44:59+00:00
294,2,2012-10-19 20:35:56+00:00
295,2,2012-10-19 20:35:04+00:00
296,1,2012-10-19 20:34:25+00:00
297,2,2012-10-19 20:34:05+00:00
298,1,2012-10-19 20:31:26+00:00
299,2,2012-10-19 20:26:06+00:00
300,2,2012-10-19 20:25:52+00:00
301,2,2012-10-19 20:24:28+00:00
302,2,2012-10-19 20:23:40+00:00
303,1,2012-10-19 20:15:08+00:00
304,1,2012-10-19 20:09:00+00:00
305,1,2012-10-19 20:07:47+00:00
306,1,2012-10-19 20:07:47+00:00
307,2,2012-10-19 20:07:07+00:00
308,2,2012-10-19 20:03:55+00:00
309,1,2012-10-19 20:01:50+00:00
310,1,2012-10-19 20:01:24+00:00
311,2,2012-10-19 19:56:33+00:00
312,1,2012-10-19 19:54:25+00:00
313,1,2012-10-19 19:52:44+00:00
314,2,2012-10-19 19:51:56+00:00
315,2,2012-10-19 19:50:58+00:00
316,1,2012-10-19 19:50:14+00:00
317,2,2012-10-19 19:48:22+00:00
318,2,2012-10-19 19:47:27+00:00
319,2,2012-10-19 19:43:33+00:00
320,2,2012-10-19 19:43:16+00:00
321,0,2012-10-19 19:41:21+00:00
322,2,2012-10-19 19:37:15+00:00
323,2,2012-10-19 19:37:03+00:00
324,2,2012-10-19 19:32:22+00:00
325,2,2012-10-19 19:32:00+00:00
326,2,2012-10-19 19:31:16+00:00
327,2,2012-10-19 19:30:25+00:00
328,2,2012-10-19 19:26:05+00:00
329,2,2012-10-19 19:24:42+00:00
330,2,2012-10-19 19:22:16+00:00
331,2,2012-10-19 19:18:10+00:00
332,2,2012-10-19 19:15:48+00:00
333,2,2012-10-19 19:10:43+00:00
334,2,2012-10-19 19:07:56+00:00
335,2,2012-10-19 19:03:39+00:00
336,2,2012-10-19 18:57:08+00:00
337,2,2012-10-19 18:54:12+00:00
338,2,2012-10-19 18:49:32+00:00
339,2,2012-10-19 18:42:33+00:00
340,2,2012-10-19 18:39:52+00:00
341,0,2012-10-19 18:33:25+00:00
342,1,2012-10-19 18:31:47+00:00
343,1,2012-10-19 18:29:20+00:00
344,1,2012-10-19 18:28:04+00:00
345,2,2012-10-19 18:28:01+00:00
346,1,2012-10-19 18:23:05+00:00
347,2,2012-10-19 18:11:54+00:00
348,2,2012-10-19 18:11:36+00:00
349,1,2012-10-19 18:06:09+00:00
