,date,score
0,2020-05-28,0.8210526315789474
1,2020-05-29,0.9545454545454546
2,2020-05-30,1.1977401129943503
3,2020-05-31,1.8130081300813008
4,2020-06-01,1.3333333333333333
5,2020-06-02,0.8222222222222222
6,2020-06-03,0.5
7,2020-06-04,0.946949602122016
8,2020-06-05,0.946360153256705
9,2020-06-06,0.9310344827586207
10,2020-06-07,1.0808823529411764
11,2020-06-08,1.0127118644067796
12,2020-06-09,0.997979797979798
13,2020-06-10,0.9198218262806236
14,2020-06-11,0.9768518518518519
15,2020-06-12,0.9586776859504132
16,2020-06-13,1.004739336492891
17,2020-06-14,0.9756838905775076
18,2020-06-15,1.0095238095238095
19,2020-06-16,0.975609756097561
20,2020-06-17,0.8561643835616438
21,2020-06-18,0.8630952380952381
22,2020-06-19,0.9658792650918635
23,2020-06-20,1.1040462427745665
24,2020-06-21,1.0043478260869565
25,2020-06-22,0.9724770642201835
26,2020-06-23,0.7366255144032922
27,2020-06-24,0.6907894736842105
28,2020-06-25,0.975609756097561
29,2020-06-26,0.8034825870646766
30,2020-06-27,0.8997772828507795
31,2020-06-28,0.8235294117647058
32,2020-06-29,0.8802660753880266
