date,final_score
2020-05-28,67.6437659033079
2020-05-29,57.75961538461539
2020-05-30,60.9371921182266
2020-05-31,53.96384039900249
2020-06-01,32.555986696230605
2020-06-02,22.729755784061695
2020-06-03,38.55219072164949
2020-06-04,48.31172069825437
2020-06-05,47.28224815724815
2020-06-06,54.47884114583333
2020-06-07,60.966875
2020-06-08,68.08333333333333
2020-06-09,69.03519417475728
2020-06-10,65.91545893719807
2020-06-11,69.16717233009709
2020-06-12,65.39135802469136
2020-06-13,142.5716463414634
2020-06-14,161.35508578431373
2020-06-15,57.8314393939394
2020-06-16,65.22691846522781
2020-06-17,65.18072289156626
2020-06-18,58.947688564476884
2020-06-19,56.73695388349514
2020-06-20,36.59510250569475
2020-06-21,5.827411167512693
2020-06-22,151.59182464454977
2020-06-23,48.65220207253886
2020-06-24,59.16962025316456
2020-06-25,62.460048426150124
2020-06-26,63.63959390862944
2020-06-27,64.63365155131265
2020-06-28,47.66949152542372
2020-06-29,56.40298507462686
