date,romney
2012-08-06,6
2012-08-07,9
2012-08-08,8
2012-08-09,9
2012-08-10,8
2012-08-11,35
2012-08-12,19
2012-08-13,14
2012-08-14,11
2012-08-15,10
2012-08-16,10
2012-08-17,10
2012-08-18,8
2012-08-19,7
2012-08-20,8
2012-08-21,8
2012-08-22,7
2012-08-23,10
2012-08-24,11
2012-08-25,10
2012-08-26,11
2012-08-27,11
2012-08-28,16
2012-08-29,36
2012-08-30,26
2012-08-31,60
2012-09-01,21
2012-09-02,15
2012-09-03,14
2012-09-04,16
2012-09-05,22
2012-09-06,23
2012-09-07,29
2012-09-08,18
2012-09-09,15
2012-09-10,15
2012-09-11,14
2012-09-12,17
2012-09-13,19
2012-09-14,15
2012-09-15,12
2012-09-16,11
2012-09-17,14
2012-09-18,43
2012-09-19,35
2012-09-20,25
2012-09-21,26
2012-09-22,20
2012-09-23,16
2012-09-24,19
2012-09-25,20
2012-09-26,17
2012-09-27,17
2012-09-28,15
2012-09-29,12
2012-09-30,11
2012-10-01,13
2012-10-02,14
2012-10-03,22
2012-10-04,100
2012-10-05,39
2012-10-06,25
2012-10-07,22
2012-10-08,23
2012-10-09,22
2012-10-10,25
2012-10-11,22
2012-10-12,27
2012-10-13,16
2012-10-14,15
2012-10-15,15
2012-10-16,22
2012-10-17,85
2012-10-18,42
2012-10-19,39
2012-10-20,28
2012-10-21,24
2012-10-22,26
2012-10-23,75
2012-10-24,38
2012-10-25,33
2012-10-26,30
2012-10-27,26
2012-10-28,22
2012-10-29,25
2012-10-30,27
2012-10-31,28
2012-11-01,30
2012-11-02,32
2012-11-03,30
2012-11-04,39
2012-11-05,54
2012-11-06,98
