date,final_score
2020-05-28,106.1842105263158
2020-05-29,105.3096590909091
2020-05-30,100.0
2020-05-31,106.10526315789474
2020-06-01,110.43303571428571
2020-06-02,55.764367816091955
2020-06-03,100.0
2020-06-04,111.71308724832215
2020-06-05,130.05311614730877
2020-06-06,107.26315789473684
2020-06-07,139.0181818181818
2020-06-08,111.25
2020-06-09,90.453125
2020-06-10,105.5125
2020-06-11,108.22916666666667
2020-06-12,145.31690140845072
2020-06-13,100.0
2020-06-14,107.48051948051948
2020-06-15,106.8108108108108
2020-06-16,95.37376237623762
2020-06-17,126.03350515463917
2020-06-18,89.7560975609756
2020-06-19,105.65068493150685
2020-06-20,107.03846153846153
2020-06-21,134.13793103448276
2020-06-22,118.29724409448819
2020-06-23,94.85096153846153
2020-06-24,95.03658536585365
2020-06-25,100.0
2020-06-26,130.1222375690608
2020-06-27,99.82215447154472
2020-06-28,97.775
2020-06-29,147.26685393258427
