date,trump economy,isPartial
2020-05-27,0,False
2020-05-28,66,False
2020-05-29,0,False
2020-05-30,52,False
2020-05-31,0,False
2020-06-01,90,False
2020-06-02,45,False
2020-06-03,43,False
2020-06-04,44,False
2020-06-05,0,False
2020-06-06,54,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,46,False
2020-06-11,46,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,48,False
2020-06-16,0,False
2020-06-17,0,False
2020-06-18,48,False
2020-06-19,0,False
2020-06-20,53,False
2020-06-21,55,False
2020-06-22,0,False
2020-06-23,0,False
2020-06-24,0,False
2020-06-25,0,False
2020-06-26,100,False
2020-06-27,0,False
2020-06-28,53,False
2020-06-29,0,False
2020-06-30,49,False
