date,trump economy,isPartial
2020-05-27,31,False
2020-05-28,26,False
2020-05-29,29,False
2020-05-30,33,False
2020-05-31,39,False
2020-06-01,37,False
2020-06-02,57,False
2020-06-03,37,False
2020-06-04,43,False
2020-06-05,100,False
2020-06-06,78,False
2020-06-07,72,False
2020-06-08,55,False
2020-06-09,66,False
2020-06-10,31,False
2020-06-11,37,False
2020-06-12,17,False
2020-06-13,37,False
2020-06-14,22,False
2020-06-15,17,False
2020-06-16,25,False
2020-06-17,39,False
2020-06-18,44,False
2020-06-19,22,False
2020-06-20,51,False
2020-06-21,23,False
2020-06-22,30,False
2020-06-23,43,False
2020-06-24,30,False
2020-06-25,50,False
2020-06-26,25,False
2020-06-27,27,False
2020-06-28,34,False
2020-06-29,31,False
2020-06-30,42,False
