date,trump economy,isPartial
2020-05-27,34,False
2020-05-28,0,False
2020-05-29,34,False
2020-05-30,0,False
2020-05-31,40,False
2020-06-01,0,False
2020-06-02,0,False
2020-06-03,33,False
2020-06-04,0,False
2020-06-05,100,False
2020-06-06,40,False
2020-06-07,40,False
2020-06-08,0,False
2020-06-09,33,False
2020-06-10,34,False
2020-06-11,35,False
2020-06-12,0,False
2020-06-13,40,False
2020-06-14,0,False
2020-06-15,0,False
2020-06-16,35,False
2020-06-17,0,False
2020-06-18,36,False
2020-06-19,36,False
2020-06-20,0,False
2020-06-21,41,False
2020-06-22,35,False
2020-06-23,35,False
2020-06-24,0,False
2020-06-25,74,False
2020-06-26,0,False
2020-06-27,0,False
2020-06-28,0,False
2020-06-29,37,False
2020-06-30,76,False
