date,romney health,isPartial
2012-08-06,12,False
2012-08-07,9,False
2012-08-08,6,False
2012-08-09,30,False
2012-08-10,6,False
2012-08-11,18,False
2012-08-12,7,False
2012-08-13,6,False
2012-08-14,15,False
2012-08-15,17,False
2012-08-16,6,False
2012-08-17,9,False
2012-08-18,4,False
2012-08-19,7,False
2012-08-20,9,False
2012-08-21,6,False
2012-08-22,6,False
2012-08-23,9,False
2012-08-24,9,False
2012-08-25,7,False
2012-08-26,4,False
2012-08-27,26,False
2012-08-28,11,False
2012-08-29,23,False
2012-08-30,6,False
2012-08-31,34,False
2012-09-01,7,False
2012-09-02,7,False
2012-09-03,7,False
2012-09-04,14,False
2012-09-05,20,False
2012-09-06,28,False
2012-09-07,18,False
2012-09-08,14,False
2012-09-09,21,False
2012-09-10,11,False
2012-09-11,14,False
2012-09-12,11,False
2012-09-13,28,False
2012-09-14,6,False
2012-09-15,11,False
2012-09-16,3,False
2012-09-17,14,False
2012-09-18,22,False
2012-09-19,20,False
2012-09-20,29,False
2012-09-21,26,False
2012-09-22,7,False
2012-09-23,24,False
2012-09-24,28,False
2012-09-25,22,False
2012-09-26,17,False
2012-09-27,14,False
2012-09-28,18,False
2012-09-29,24,False
2012-09-30,17,False
2012-10-01,33,False
2012-10-02,38,False
2012-10-03,16,False
2012-10-04,100,False
2012-10-05,40,False
2012-10-06,14,False
2012-10-07,24,False
2012-10-08,16,False
2012-10-09,41,False
2012-10-10,32,False
2012-10-11,27,False
2012-10-12,45,False
2012-10-13,7,False
2012-10-14,10,False
2012-10-15,26,False
2012-10-16,35,False
2012-10-17,48,False
2012-10-18,19,False
2012-10-19,31,False
2012-10-20,14,False
2012-10-21,17,False
2012-10-22,37,False
2012-10-23,34,False
2012-10-24,26,False
2012-10-25,43,False
2012-10-26,42,False
2012-10-27,13,False
2012-10-28,26,False
2012-10-29,34,False
2012-10-30,42,False
2012-10-31,41,False
2012-11-01,49,False
2012-11-02,50,False
2012-11-03,13,False
2012-11-04,29,False
2012-11-05,63,False
2012-11-06,91,False
