date,score_mn
2020-06-05,2.0
2020-06-06,2.0416666666666665
2020-06-07,1.75
2020-06-08,1.6666666666666665
2020-06-09,1.825
2020-06-10,1.6458333333333335
2020-06-11,1.9833333333333334
2020-06-12,1.8571428571428572
2020-06-13,2.5
2020-06-14,1.825
2020-06-15,1.75
2020-06-16,1.7272727272727273
2020-06-17,1.8333333333333335
2020-06-18,2.1
2020-06-19,1.65
2020-06-20,1.825
2020-06-21,1.2
2020-06-22,1.75
2020-06-23,1.8888571428571428
2020-06-24,1.95
2020-06-25,1.8409090909090908
2020-06-26,2.25
2020-06-27,1.5
2020-06-28,1.5333333333333332
2020-06-29,1.9166666666666665
2020-06-30,1.75
2020-07-01,1.7857142857142856
2020-07-02,1.9166666666666665
2020-07-03,1.7135714285714285
2020-07-04,1.7135714285714285
