date,hillary immigration,isPartial
2016-08-07,5,False
2016-08-08,6,False
2016-08-09,6,False
2016-08-10,4,False
2016-08-11,6,False
2016-08-12,8,False
2016-08-13,5,False
2016-08-14,5,False
2016-08-15,6,False
2016-08-16,12,False
2016-08-17,8,False
2016-08-18,14,False
2016-08-19,23,False
2016-08-20,14,False
2016-08-21,17,False
2016-08-22,20,False
2016-08-23,16,False
2016-08-24,23,False
2016-08-25,30,False
2016-08-26,30,False
2016-08-27,28,False
2016-08-28,30,False
2016-08-29,31,False
2016-08-30,22,False
2016-08-31,29,False
2016-09-01,55,False
2016-09-02,34,False
2016-09-03,26,False
2016-09-04,18,False
2016-09-05,29,False
2016-09-06,27,False
2016-09-07,12,False
2016-09-08,21,False
2016-09-09,7,False
2016-09-10,0,False
2016-09-11,16,False
2016-09-12,18,False
2016-09-13,11,False
2016-09-14,30,False
2016-09-15,13,False
2016-09-16,15,False
2016-09-17,11,False
2016-09-18,10,False
2016-09-19,14,False
2016-09-20,26,False
2016-09-21,26,False
2016-09-22,16,False
2016-09-23,15,False
2016-09-24,9,False
2016-09-25,10,False
2016-09-26,28,False
2016-09-27,42,False
2016-09-28,46,False
2016-09-29,23,False
2016-09-30,20,False
2016-10-01,13,False
2016-10-02,10,False
2016-10-03,21,False
2016-10-04,21,False
2016-10-05,31,False
2016-10-06,18,False
2016-10-07,22,False
2016-10-08,4,False
2016-10-09,15,False
2016-10-10,27,False
2016-10-11,48,False
2016-10-12,32,False
2016-10-13,43,False
2016-10-14,35,False
2016-10-15,15,False
2016-10-16,21,False
2016-10-17,35,False
2016-10-18,46,False
2016-10-19,28,False
2016-10-20,76,False
2016-10-21,40,False
2016-10-22,15,False
2016-10-23,21,False
2016-10-24,36,False
2016-10-25,35,False
2016-10-26,33,False
2016-10-27,51,False
2016-10-28,42,False
2016-10-29,15,False
2016-10-30,8,False
2016-10-31,33,False
2016-11-01,40,False
2016-11-02,72,False
2016-11-03,63,False
2016-11-04,60,False
2016-11-05,17,False
2016-11-06,31,False
2016-11-07,96,False
2016-11-08,100,False
