date,trump environment,isPartial
2020-05-27,0,False
2020-05-28,51,False
2020-05-29,0,False
2020-05-30,61,False
2020-05-31,31,False
2020-06-01,26,False
2020-06-02,27,False
2020-06-03,25,False
2020-06-04,25,False
2020-06-05,76,False
2020-06-06,30,False
2020-06-07,30,False
2020-06-08,100,False
2020-06-09,0,False
2020-06-10,26,False
2020-06-11,65,False
2020-06-12,0,False
2020-06-13,0,False
2020-06-14,47,False
2020-06-15,54,False
2020-06-16,53,False
2020-06-17,54,False
2020-06-18,40,False
2020-06-19,28,False
2020-06-20,62,False
2020-06-21,0,False
2020-06-22,28,False
2020-06-23,27,False
2020-06-24,0,False
2020-06-25,41,False
2020-06-26,56,False
2020-06-27,31,False
2020-06-28,31,False
2020-06-29,70,False
2020-06-30,28,False
