date,final_score
2016-10-08,116.97815025441486
2016-10-09,115.4267585774714
2016-10-10,82.0682356657716
2016-10-11,93.05137666761283
2016-10-12,87.38150738150738
2016-10-13,81.07835642618252
2016-10-14,88.032437442076
2016-10-15,88.38357117995128
2016-10-16,95.59806295399515
2016-10-17,87.09585798816568
2016-10-18,93.3364262196947
2016-10-19,96.04555808656036
2016-10-20,78.2054054054054
2016-10-21,113.58613217768148
2016-10-22,98.21857410881802
2016-10-23,93.53130590339893
2016-10-24,91.2094017094017
2016-10-25,90.45364891518737
2016-10-26,86.54545454545455
2016-10-27,80.21230769230769
2016-10-28,84.83974358974359
2016-10-29,89.43076923076923
2016-10-30,82.38942307692307
2016-10-31,83.52125162972621
2016-11-01,69.88153530247986
2016-11-02,63.14333148865523
2016-11-03,88.11548998946259
2016-11-04,123.46256069511884
2016-11-05,90.75806842999272
2016-11-06,80.03238866396761
