date,romney,isPartial
2012-08-06,8,False
2012-08-07,9,False
2012-08-08,10,False
2012-08-09,3,False
2012-08-10,7,False
2012-08-11,43,False
2012-08-12,13,False
2012-08-13,12,False
2012-08-14,13,False
2012-08-15,12,False
2012-08-16,15,False
2012-08-17,10,False
2012-08-18,9,False
2012-08-19,5,False
2012-08-20,6,False
2012-08-21,9,False
2012-08-22,6,False
2012-08-23,10,False
2012-08-24,20,False
2012-08-25,8,False
2012-08-26,12,False
2012-08-27,15,False
2012-08-28,15,False
2012-08-29,45,False
2012-08-30,16,False
2012-08-31,47,False
2012-09-01,18,False
2012-09-02,17,False
2012-09-03,19,False
2012-09-04,13,False
2012-09-05,14,False
2012-09-06,23,False
2012-09-07,26,False
2012-09-08,18,False
2012-09-09,21,False
2012-09-10,12,False
2012-09-11,18,False
2012-09-12,17,False
2012-09-13,19,False
2012-09-14,15,False
2012-09-15,13,False
2012-09-16,6,False
2012-09-17,14,False
2012-09-18,42,False
2012-09-19,26,False
2012-09-20,29,False
2012-09-21,22,False
2012-09-22,15,False
2012-09-23,8,False
2012-09-24,22,False
2012-09-25,19,False
2012-09-26,20,False
2012-09-27,14,False
2012-09-28,15,False
2012-09-29,13,False
2012-09-30,15,False
2012-10-01,14,False
2012-10-02,17,False
2012-10-03,21,False
2012-10-04,64,False
2012-10-05,33,False
2012-10-06,26,False
2012-10-07,36,False
2012-10-08,14,False
2012-10-09,16,False
2012-10-10,28,False
2012-10-11,24,False
2012-10-12,38,False
2012-10-13,10,False
2012-10-14,15,False
2012-10-15,14,False
2012-10-16,23,False
2012-10-17,65,False
2012-10-18,38,False
2012-10-19,49,False
2012-10-20,21,False
2012-10-21,17,False
2012-10-22,22,False
2012-10-23,62,False
2012-10-24,53,False
2012-10-25,33,False
2012-10-26,45,False
2012-10-27,23,False
2012-10-28,40,False
2012-10-29,31,False
2012-10-30,43,False
2012-10-31,27,False
2012-11-01,25,False
2012-11-02,46,False
2012-11-03,41,False
2012-11-04,57,False
2012-11-05,59,False
2012-11-06,100,False
