date,romney,isPartial
2012-08-06,9,False
2012-08-07,8,False
2012-08-08,12,False
2012-08-09,13,False
2012-08-10,9,False
2012-08-11,40,False
2012-08-12,18,False
2012-08-13,13,False
2012-08-14,14,False
2012-08-15,11,False
2012-08-16,12,False
2012-08-17,12,False
2012-08-18,11,False
2012-08-19,8,False
2012-08-20,6,False
2012-08-21,11,False
2012-08-22,6,False
2012-08-23,13,False
2012-08-24,11,False
2012-08-25,12,False
2012-08-26,11,False
2012-08-27,16,False
2012-08-28,17,False
2012-08-29,46,False
2012-08-30,34,False
2012-08-31,60,False
2012-09-01,22,False
2012-09-02,12,False
2012-09-03,13,False
2012-09-04,13,False
2012-09-05,26,False
2012-09-06,24,False
2012-09-07,24,False
2012-09-08,23,False
2012-09-09,17,False
2012-09-10,17,False
2012-09-11,16,False
2012-09-12,20,False
2012-09-13,26,False
2012-09-14,28,False
2012-09-15,17,False
2012-09-16,16,False
2012-09-17,17,False
2012-09-18,42,False
2012-09-19,36,False
2012-09-20,31,False
2012-09-21,31,False
2012-09-22,24,False
2012-09-23,24,False
2012-09-24,33,False
2012-09-25,23,False
2012-09-26,22,False
2012-09-27,16,False
2012-09-28,16,False
2012-09-29,23,False
2012-09-30,21,False
2012-10-01,18,False
2012-10-02,23,False
2012-10-03,31,False
2012-10-04,100,False
2012-10-05,61,False
2012-10-06,27,False
2012-10-07,30,False
2012-10-08,22,False
2012-10-09,26,False
2012-10-10,23,False
2012-10-11,22,False
2012-10-12,25,False
2012-10-13,19,False
2012-10-14,18,False
2012-10-15,18,False
2012-10-16,16,False
2012-10-17,77,False
2012-10-18,41,False
2012-10-19,37,False
2012-10-20,29,False
2012-10-21,20,False
2012-10-22,24,False
2012-10-23,64,False
2012-10-24,45,False
2012-10-25,37,False
2012-10-26,28,False
2012-10-27,24,False
2012-10-28,27,False
2012-10-29,28,False
2012-10-30,37,False
2012-10-31,35,False
2012-11-01,35,False
2012-11-02,37,False
2012-11-03,48,False
2012-11-04,47,False
2012-11-05,53,False
2012-11-06,83,False
