date,romney,isPartial
2012-08-06,6,False
2012-08-07,11,False
2012-08-08,14,False
2012-08-09,16,False
2012-08-10,6,False
2012-08-11,24,False
2012-08-12,14,False
2012-08-13,19,False
2012-08-14,16,False
2012-08-15,13,False
2012-08-16,6,False
2012-08-17,19,False
2012-08-18,19,False
2012-08-19,9,False
2012-08-20,11,False
2012-08-21,15,False
2012-08-22,8,False
2012-08-23,13,False
2012-08-24,7,False
2012-08-25,14,False
2012-08-26,20,False
2012-08-27,19,False
2012-08-28,14,False
2012-08-29,28,False
2012-08-30,34,False
2012-08-31,61,False
2012-09-01,26,False
2012-09-02,17,False
2012-09-03,22,False
2012-09-04,8,False
2012-09-05,18,False
2012-09-06,27,False
2012-09-07,25,False
2012-09-08,21,False
2012-09-09,17,False
2012-09-10,15,False
2012-09-11,15,False
2012-09-12,15,False
2012-09-13,27,False
2012-09-14,15,False
2012-09-15,8,False
2012-09-16,15,False
2012-09-17,9,False
2012-09-18,42,False
2012-09-19,41,False
2012-09-20,37,False
2012-09-21,27,False
2012-09-22,26,False
2012-09-23,10,False
2012-09-24,18,False
2012-09-25,19,False
2012-09-26,21,False
2012-09-27,23,False
2012-09-28,28,False
2012-09-29,23,False
2012-09-30,21,False
2012-10-01,28,False
2012-10-02,20,False
2012-10-03,29,False
2012-10-04,100,False
2012-10-05,42,False
2012-10-06,39,False
2012-10-07,11,False
2012-10-08,35,False
2012-10-09,21,False
2012-10-10,18,False
2012-10-11,19,False
2012-10-12,26,False
2012-10-13,26,False
2012-10-14,12,False
2012-10-15,18,False
2012-10-16,14,False
2012-10-17,57,False
2012-10-18,38,False
2012-10-19,37,False
2012-10-20,48,False
2012-10-21,34,False
2012-10-22,36,False
2012-10-23,75,False
2012-10-24,65,False
2012-10-25,27,False
2012-10-26,27,False
2012-10-27,31,False
2012-10-28,18,False
2012-10-29,20,False
2012-10-30,26,False
2012-10-31,33,False
2012-11-01,37,False
2012-11-02,44,False
2012-11-03,47,False
2012-11-04,30,False
2012-11-05,60,False
2012-11-06,82,False
