date,romney,isPartial
2012-08-06,6,False
2012-08-07,7,False
2012-08-08,9,False
2012-08-09,9,False
2012-08-10,10,False
2012-08-11,35,False
2012-08-12,18,False
2012-08-13,16,False
2012-08-14,11,False
2012-08-15,8,False
2012-08-16,8,False
2012-08-17,9,False
2012-08-18,9,False
2012-08-19,7,False
2012-08-20,6,False
2012-08-21,7,False
2012-08-22,8,False
2012-08-23,7,False
2012-08-24,9,False
2012-08-25,8,False
2012-08-26,9,False
2012-08-27,11,False
2012-08-28,18,False
2012-08-29,35,False
2012-08-30,29,False
2012-08-31,66,False
2012-09-01,23,False
2012-09-02,17,False
2012-09-03,16,False
2012-09-04,19,False
2012-09-05,25,False
2012-09-06,22,False
2012-09-07,31,False
2012-09-08,19,False
2012-09-09,16,False
2012-09-10,17,False
2012-09-11,13,False
2012-09-12,17,False
2012-09-13,20,False
2012-09-14,19,False
2012-09-15,13,False
2012-09-16,11,False
2012-09-17,12,False
2012-09-18,45,False
2012-09-19,34,False
2012-09-20,32,False
2012-09-21,27,False
2012-09-22,21,False
2012-09-23,18,False
2012-09-24,17,False
2012-09-25,19,False
2012-09-26,16,False
2012-09-27,15,False
2012-09-28,13,False
2012-09-29,14,False
2012-09-30,13,False
2012-10-01,13,False
2012-10-02,15,False
2012-10-03,20,False
2012-10-04,100,False
2012-10-05,47,False
2012-10-06,37,False
2012-10-07,24,False
2012-10-08,24,False
2012-10-09,26,False
2012-10-10,25,False
2012-10-11,25,False
2012-10-12,29,False
2012-10-13,19,False
2012-10-14,18,False
2012-10-15,16,False
2012-10-16,23,False
2012-10-17,84,False
2012-10-18,42,False
2012-10-19,40,False
2012-10-20,35,False
2012-10-21,27,False
2012-10-22,28,False
2012-10-23,71,False
2012-10-24,43,False
2012-10-25,38,False
2012-10-26,32,False
2012-10-27,33,False
2012-10-28,27,False
2012-10-29,31,False
2012-10-30,30,False
2012-10-31,38,False
2012-11-01,36,False
2012-11-02,38,False
2012-11-03,38,False
2012-11-04,47,False
2012-11-05,56,False
2012-11-06,99,False
