date,romney,isPartial
2012-08-06,8,False
2012-08-07,8,False
2012-08-08,8,False
2012-08-09,12,False
2012-08-10,8,False
2012-08-11,35,False
2012-08-12,16,False
2012-08-13,11,False
2012-08-14,10,False
2012-08-15,14,False
2012-08-16,10,False
2012-08-17,10,False
2012-08-18,9,False
2012-08-19,7,False
2012-08-20,6,False
2012-08-21,6,False
2012-08-22,9,False
2012-08-23,12,False
2012-08-24,15,False
2012-08-25,12,False
2012-08-26,9,False
2012-08-27,13,False
2012-08-28,15,False
2012-08-29,27,False
2012-08-30,22,False
2012-08-31,43,False
2012-09-01,20,False
2012-09-02,13,False
2012-09-03,13,False
2012-09-04,15,False
2012-09-05,22,False
2012-09-06,19,False
2012-09-07,21,False
2012-09-08,15,False
2012-09-09,10,False
2012-09-10,13,False
2012-09-11,10,False
2012-09-12,15,False
2012-09-13,17,False
2012-09-14,15,False
2012-09-15,12,False
2012-09-16,7,False
2012-09-17,13,False
2012-09-18,39,False
2012-09-19,31,False
2012-09-20,23,False
2012-09-21,25,False
2012-09-22,20,False
2012-09-23,17,False
2012-09-24,21,False
2012-09-25,28,False
2012-09-26,22,False
2012-09-27,20,False
2012-09-28,17,False
2012-09-29,16,False
2012-09-30,10,False
2012-10-01,14,False
2012-10-02,16,False
2012-10-03,20,False
2012-10-04,85,False
2012-10-05,36,False
2012-10-06,24,False
2012-10-07,21,False
2012-10-08,24,False
2012-10-09,31,False
2012-10-10,36,False
2012-10-11,24,False
2012-10-12,34,False
2012-10-13,22,False
2012-10-14,18,False
2012-10-15,20,False
2012-10-16,23,False
2012-10-17,70,False
2012-10-18,35,False
2012-10-19,36,False
2012-10-20,36,False
2012-10-21,25,False
2012-10-22,25,False
2012-10-23,67,False
2012-10-24,35,False
2012-10-25,39,False
2012-10-26,39,False
2012-10-27,27,False
2012-10-28,34,False
2012-10-29,33,False
2012-10-30,35,False
2012-10-31,36,False
2012-11-01,43,False
2012-11-02,53,False
2012-11-03,43,False
2012-11-04,45,False
2012-11-05,67,False
2012-11-06,100,False
