,date,scores
0,2020-05-28,1.932
1,2020-05-29,2.38
2,2020-05-30,1.798
3,2020-05-31,2.162
4,2020-06-01,1.642
5,2020-06-02,1.9780000000000002
6,2020-06-03,1.99
7,2020-06-04,2.0180000000000002
8,2020-06-05,1.876
9,2020-06-06,1.5719999999999998
10,2020-06-07,1.766
11,2020-06-08,1.426
12,2020-06-09,1.804
13,2020-06-10,1.96
14,2020-06-11,1.3719999999999999
15,2020-06-12,1.744
16,2020-06-13,1.73
17,2020-06-14,1.9
18,2020-06-15,1.818
19,2020-06-16,1.754
20,2020-06-17,1.8780000000000001
21,2020-06-18,1.742
22,2020-06-19,1.8780000000000001
23,2020-06-20,2.064
24,2020-06-21,1.396
25,2020-06-22,1.6840000000000002
26,2020-06-23,2.016
27,2020-06-24,1.652
28,2020-06-25,2.31
29,2020-06-26,1.88
30,2020-06-27,1.834
31,2020-06-28,1.834
32,2020-06-29,2.266
