date,text
2020-06-10,tim graham: fact-checkers vs. trump – here's what they are too biased to recognize
2020-06-10,susan rice: trump's response to george floyd dc unrest proves it should become a state
2020-06-10,trump’s approval rating drops to 39 percent in gallup poll
2020-06-10,"pbs' yamiche alcindor, cnn among winners of white house correspondents association awards"
2020-06-10,"potential biden running mate harris renews pitch for $2,000 monthly payments during coronavirus pandemic"
2020-06-10,"paul krugman, professors push for top economist to lose influential job for criticizing black lives matter"
2020-06-10,deroy murdock: looting and rioting after george floyd killing draw shocking support from left
2020-06-11,"biden unveils proposals to reopen economy, slams trump's 'one-point plan'"
2020-06-11,"national debt tops $26t, record deficit reported as coronavirus relief spending goes into overdrive"
2020-06-11,"don lemon, joy reid spread 'lies' about trump economy, black political consultant says"
2020-06-11,"biden camp reportedly insisting economic advisers not publicly disclose roles, igniting concerns about tv hits"
2020-06-11,suspended ucla prof says school used him as 'sacrificial lamb' to placate 'those who threaten to riot'
2020-06-11,dem governor mocked for pleading ignorance on seattle anarchist takeover
2020-06-11,biden stokes fears of stolen election
2020-06-11,"trump vows executive order to address law enforcement use of force, but slams 'defund the police' movement"
2020-06-11,newt gingrich: democrats must apologize – here's how they've failed america's cities
2020-06-11,seattle's 'autonomous zone' is latest escalation in city's lurch to the left: what to know
2020-06-11,doug schoen: trump-biden race closer than it appears – democrats overrepresented in some polls
2020-06-11,rep. green: i hope trump will not allow rebel flags at tulsa rally
2020-06-11,"doj reveals striking details of riot arrests, including helicopter laser strikes and precinct arson"
2020-06-11,"us coronavirus cases surpass 2m, spike in many areas while europe’s decline, cdc says"
2020-06-11,what do the seattle protesters who have seized their own 'autonomous zone' want?
2020-06-11,"justin haskins: george floyd riots — socialists, radicals hijacking peaceful protests to do this"
2020-06-12,watchdog group files complaint against dem who allegedly requested ppp loan changes that benefited husband
2020-06-12,rep. max rose to irs: extend tax filing deadline to oct. 15
2020-06-12,"kudlow: there is no 'second spike' in covid-19 cases, not going to shut down economy"
2020-06-12,cnn’s chris cuomo mocked for using obama-era data to prove systemic racism impacts trump-era economy
2020-06-12,sarah sanders: 'americans don't believe biden can rebuild economy post-covid'
2020-06-12,sarah sanders says americans don't think biden can rebuild economy post-coronavirus
2020-06-12,north korea marks 2-year anniversary of trump-kim summit by vowing to build up military
2020-06-12,rep. steve scalise questions dem governors on decision to send coronavirus patients to nursing homes
2020-06-12,leslie marshall: trump sinking in polls – voters tired of his failures and angry tweets
2020-06-12,cuomo signs police reform bill; nypd union warns cops will be ‘unable to do the job’
2020-06-12,doors opening under the cloud of a pandemic
2020-06-12,'tiger king' star jeff lowe sued by state of oklahoma for at least $50g in delinquent taxes
2020-06-12,"trump vows he won't 'let seattle be occupied by anarchists,' will 'straighten it out' if local leaders don't"
2020-06-12,headlong into the mud
2020-06-12,mcconnell spokesman slams group pushing allegations about appeals court nominee: 'bottom of the barrel'
2020-06-12,msnbc host hits biden aide symone sanders for dodging question about biden's shift from 1994 crime bill
2020-06-12,jim jordan’s big idea: enact fisa reform to fix 'system-wide problem'
2020-06-12,victor davis hanson: george floyd unrest – when the revolution doesn't go as planned
2020-06-12,tucker carlson: world welcomes its newest country -- the capitol hill autonomous zone once known as seattle
2020-06-13,"newt gingrich: america is we know it would end if biden, pelosi and schumer govern"
2020-06-13,reince priebus wants lots of trump-biden debates: 'president is going to eat up joe biden'
2020-06-13,jacksonville mayor lenny curry promises full arena for republican national convention: 'we’re not going to operate out of fear'
2020-06-13,"kim jong un's sister threatens military action against south korea, promises 'tragic scene' at liaison office"
2020-06-13,will hurd proposes conditioning federal aid on whether police departments follow best practices
2020-06-13,"ilhan omar's gop challenger eyes upset in november, hits 'unthinking' call to defund police"
2020-06-14,"what will 2020 elections be about? impeachment, pandemic, george floyd death by june leaves door wide open"
2020-06-14,dem congresswoman pushes back on trump's claim that he’s done more for black americans than any president other than lincoln
2020-06-15,this day in history: june 15
2020-06-15,massive bribe to stop ukraine probe of burisma founder intercepted
