,Unnamed: 0,date,score
0,0,2020-05-27,10.090909090909092
1,1,2020-05-28,14.545454545454545
2,2,2020-05-29,23.181818181818183
3,3,2020-05-30,19.90909090909091
4,4,2020-05-31,18.63636363636364
5,5,2020-06-01,35.09090909090909
6,6,2020-06-02,9.272727272727273
7,7,2020-06-03,23.63636363636364
8,8,2020-06-04,19.63636363636364
9,9,2020-06-05,49.27272727272727
10,10,2020-06-06,33.09090909090909
11,11,2020-06-07,23.45454545454545
12,12,2020-06-08,25.63636363636364
13,13,2020-06-09,16.454545454545453
14,14,2020-06-10,10.090909090909092
15,15,2020-06-11,18.63636363636364
16,16,2020-06-12,5.363636363636363
17,17,2020-06-13,7.0
18,18,2020-06-14,5.181818181818182
19,19,2020-06-15,5.909090909090909
20,20,2020-06-16,11.090909090909092
21,21,2020-06-17,13.909090909090908
22,22,2020-06-18,41.81818181818182
23,23,2020-06-19,12.0
24,24,2020-06-20,9.454545454545457
25,25,2020-06-21,30.90909090909091
26,26,2020-06-22,17.90909090909091
27,27,2020-06-23,9.909090909090908
28,28,2020-06-24,15.636363636363635
29,29,2020-06-25,23.272727272727273
30,30,2020-06-26,33.63636363636363
31,31,2020-06-27,14.818181818181818
32,32,2020-06-28,25.363636363636363
33,33,2020-06-29,16.363636363636363
34,34,2020-06-30,36.18181818181818
