date,final_score
2016-10-08,98.08482142857143
2016-10-09,96.23529411764706
2016-10-10,89.81917077175697
2016-10-11,95.50082599118943
2016-10-12,95.99735169491525
2016-10-13,93.56871345029239
2016-10-14,97.00418447293447
2016-10-15,94.52585891812865
2016-10-16,95.67349137931035
2016-10-17,99.18626914660831
2016-10-18,94.48809523809524
2016-10-19,95.27027027027027
2016-10-20,92.24272629310344
2016-10-21,93.88827433628319
2016-10-22,104.96930309734513
2016-10-23,92.11745689655172
2016-10-24,94.50596569724087
2016-10-25,95.1875
2016-10-26,93.13197424892704
2016-10-27,91.84665226781857
2016-10-28,93.63810641627543
2016-10-29,91.91990846681922
2016-10-30,93.41800766283525
2016-10-31,96.0112885462555
2016-11-01,94.71613394216133
2016-11-02,91.3509009009009
2016-11-03,94.74743735763099
2016-11-04,91.00934579439252
2016-11-05,88.86548913043478
2016-11-06,87.66343226788432
