date,final_score
2020-05-28,25.034109420036003
2020-05-29,29.100204779480972
2020-05-30,35.696367184008
2020-05-31,13.185245831967574
2020-06-01,19.490022251770277
2020-06-02,51.77308990979081
2020-06-03,43.62307130225531
2020-06-04,66.50070534412423
2020-06-05,84.54193181818184
2020-06-06,69.59351048951049
2020-06-07,75.78184090909092
2020-06-08,21.66462121212121
2020-06-09,44.00863636363636
2020-06-10,26.943219251336895
2020-06-11,29.918526515151513
2020-06-12,19.070173843700157
2020-06-13,22.21636363636364
2020-06-14,16.640000000000004
2020-06-15,11.954239669421487
2020-06-16,31.463636363636365
2020-06-17,23.0480505050505
2020-06-18,83.5211229946524
2020-06-19,26.91041689623508
2020-06-20,63.93599999999999
2020-06-21,58.872974025974024
2020-06-22,52.847412587412585
2020-06-23,41.20931681243926
2020-06-24,19.728401069518718
2020-06-25,29.150789256198347
2020-06-26,56.3872561983471
2020-06-27,33.674805194805195
2020-06-28,64.33624242424243
2020-06-29,34.2285
