date,final_score
2012-10-18,84.70862470862471
2012-10-19,78.88626524990161
2012-10-20,92.01388888888889
2012-10-21,84.53484848484848
2012-10-22,85.5999224655941
2012-10-23,71.63709382986491
2012-10-24,73.59326181065312
2012-10-25,67.21415894300927
2012-10-26,67.9
2012-10-27,86.54264292408622
2012-10-28,83.4777798266642
2012-10-29,80.53658536585365
2012-10-30,69.75548589341693
2012-10-31,79.77359142758382
2012-11-01,72.1588785046729
2012-11-02,57.0019342359768
2012-11-03,129.36535162950258
2012-11-04,70.86489898989899
