0,5
0,5
9,14
4,9
0,5
17,22
23,28
38,43
10,15
47,52
0,5
71,76
0,5
40,45
93,98
40,45
10,15
9,14
0,5
53,58
10,15
45,50
0,5
0,5
82,87
0,5
0,5
59,64
57,62
20,25
0,5
0,5
28,33
0,5
0,5
24,29
0,5
0,5
0,5
12,17
0,5
9,14
67,72
17,22
15,20
0,5
29,34
0,5
51,56
35,40
0,5
0,5
14,19
58,63
58,63
0,5
93,98
74,79
24,29
0,5
7,12
20,25
35,40
40,45
0,5
49,54
28,33
0,5
0,5
0,5
0,5
4,9
0,5
0,5
0,5
0,5
73,78
12,17
50,55
9,14
14,19
16,21
12,17
111,116
25,30
32,37
9,14
21,26
0,5
35,40
37,42
26,31
0,5
0,5
49,54
0,5
28,33
43,48
26,31
0,5
26,31
27,32
0,5
32,37
9,14
51,56
53,58
35,40
0,5
58,63
51,56
11,16
0,5
0,5
0,5
58,63
0,5
23,28
0,5
18,23
0,5
50,55
39,44
12,17
12,17
10,15
0,5
17,22
20,25
