date,obama immigration,isPartial
2012-08-06,23,False
2012-08-07,45,False
2012-08-08,23,False
2012-08-09,23,False
2012-08-10,24,False
2012-08-11,28,False
2012-08-12,0,False
2012-08-13,23,False
2012-08-14,23,False
2012-08-15,63,False
2012-08-16,36,False
2012-08-17,100,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,24,False
2012-08-22,24,False
2012-08-23,25,False
2012-08-24,0,False
2012-08-25,57,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,24,False
2012-08-29,24,False
2012-08-30,24,False
2012-08-31,0,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,26,False
2012-09-04,22,False
2012-09-05,0,False
2012-09-06,0,False
2012-09-07,30,False
2012-09-08,0,False
2012-09-09,0,False
2012-09-10,0,False
2012-09-11,23,False
2012-09-12,0,False
2012-09-13,47,False
2012-09-14,24,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,71,False
2012-09-18,24,False
2012-09-19,24,False
2012-09-20,24,False
2012-09-21,25,False
2012-09-22,29,False
2012-09-23,29,False
2012-09-24,24,False
2012-09-25,23,False
2012-09-26,0,False
2012-09-27,0,False
2012-09-28,25,False
2012-09-29,56,False
2012-09-30,29,False
2012-10-01,22,False
2012-10-02,42,False
2012-10-03,21,False
2012-10-04,60,False
2012-10-05,31,False
2012-10-06,0,False
2012-10-07,25,False
2012-10-08,0,False
2012-10-09,20,False
2012-10-10,78,False
2012-10-11,0,False
2012-10-12,40,False
2012-10-13,23,False
2012-10-14,22,False
2012-10-15,19,False
2012-10-16,39,False
2012-10-17,34,False
2012-10-18,20,False
2012-10-19,21,False
2012-10-20,25,False
2012-10-21,0,False
2012-10-22,20,False
2012-10-23,20,False
2012-10-24,30,False
2012-10-25,20,False
2012-10-26,31,False
2012-10-27,25,False
2012-10-28,25,False
2012-10-29,20,False
2012-10-30,20,False
2012-10-31,63,False
2012-11-01,44,False
2012-11-02,42,False
2012-11-03,37,False
2012-11-04,24,False
2012-11-05,0,False
2012-11-06,20,False
