date,hillary immigration,isPartial
2016-08-07,0,False
2016-08-08,27,False
2016-08-09,0,False
2016-08-10,0,False
2016-08-11,27,False
2016-08-12,28,False
2016-08-13,0,False
2016-08-14,33,False
2016-08-15,0,False
2016-08-16,0,False
2016-08-17,0,False
2016-08-18,28,False
2016-08-19,29,False
2016-08-20,0,False
2016-08-21,33,False
2016-08-22,27,False
2016-08-23,27,False
2016-08-24,0,False
2016-08-25,0,False
2016-08-26,26,False
2016-08-27,32,False
2016-08-28,31,False
2016-08-29,0,False
2016-08-30,100,False
2016-08-31,49,False
2016-09-01,36,False
2016-09-02,26,False
2016-09-03,31,False
2016-09-04,0,False
2016-09-05,56,False
2016-09-06,47,False
2016-09-07,23,False
2016-09-08,0,False
2016-09-09,25,False
2016-09-10,0,False
2016-09-11,28,False
2016-09-12,23,False
2016-09-13,23,False
2016-09-14,23,False
2016-09-15,24,False
2016-09-16,24,False
2016-09-17,30,False
2016-09-18,40,False
2016-09-19,45,False
2016-09-20,23,False
2016-09-21,31,False
2016-09-22,31,False
2016-09-23,0,False
2016-09-24,29,False
2016-09-25,0,False
2016-09-26,54,False
2016-09-27,23,False
2016-09-28,35,False
2016-09-29,23,False
2016-09-30,24,False
2016-10-01,57,False
2016-10-02,27,False
2016-10-03,23,False
2016-10-04,57,False
2016-10-05,23,False
2016-10-06,0,False
2016-10-07,24,False
2016-10-08,27,False
2016-10-09,36,False
2016-10-10,24,False
2016-10-11,24,False
2016-10-12,24,False
2016-10-13,23,False
2016-10-14,25,False
2016-10-15,30,False
2016-10-16,41,False
2016-10-17,35,False
2016-10-18,38,False
2016-10-19,39,False
2016-10-20,69,False
2016-10-21,36,False
2016-10-22,57,False
2016-10-23,28,False
2016-10-24,23,False
2016-10-25,39,False
2016-10-26,46,False
2016-10-27,46,False
2016-10-28,24,False
2016-10-29,0,False
2016-10-30,82,False
2016-10-31,0,False
2016-11-01,32,False
2016-11-02,38,False
2016-11-03,22,False
2016-11-04,24,False
2016-11-05,57,False
2016-11-06,54,False
2016-11-07,44,False
2016-11-08,62,False
