SUMLEV,STATE,COUNTY,FIPStxt,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,H_MALE,H_FEMALE
50,44,1,44001,Rhode Island,Bristol County,1,0,514,280,234,269,226,1,1,1,0,2,0,0,0,6,1
50,44,1,44001,Rhode Island,Bristol County,1,1,2215,1113,1102,1066,1053,10,12,3,5,13,16,0,0,24,26
50,44,1,44001,Rhode Island,Bristol County,1,2,3362,1749,1613,1675,1536,19,19,4,1,27,23,1,3,25,20
50,44,1,44001,Rhode Island,Bristol County,1,3,3504,1830,1674,1768,1627,22,13,3,2,16,16,2,1,26,26
50,44,1,44001,Rhode Island,Bristol County,1,4,3963,1959,2004,1886,1910,17,32,8,4,27,31,0,2,37,42
50,44,1,44001,Rhode Island,Bristol County,1,5,2869,1524,1345,1443,1286,31,17,10,6,22,19,0,0,43,24
50,44,1,44001,Rhode Island,Bristol County,1,6,2471,1203,1268,1156,1228,15,17,2,2,21,14,1,1,21,19
50,44,1,44001,Rhode Island,Bristol County,1,7,2962,1475,1487,1437,1436,14,11,4,4,13,21,0,2,19,18
50,44,1,44001,Rhode Island,Bristol County,1,8,4069,1904,2165,1841,2125,20,14,5,1,25,14,3,0,23,25
50,44,1,44001,Rhode Island,Bristol County,1,9,4389,2132,2257,2083,2205,18,3,4,6,23,34,0,0,22,20
50,44,1,44001,Rhode Island,Bristol County,1,10,3900,1898,2002,1864,1967,11,4,1,5,17,16,0,0,6,13
50,44,1,44001,Rhode Island,Bristol County,1,11,3352,1625,1727,1592,1695,13,6,2,1,13,14,0,0,10,15
50,44,1,44001,Rhode Island,Bristol County,1,12,2555,1262,1293,1248,1275,1,1,1,1,7,8,0,0,5,10
50,44,1,44001,Rhode Island,Bristol County,1,13,2054,979,1075,963,1055,3,0,1,1,9,10,0,0,9,7
50,44,1,44001,Rhode Island,Bristol County,1,14,2054,931,1123,915,1102,5,7,1,1,6,9,0,0,4,4
50,44,1,44001,Rhode Island,Bristol County,1,15,2065,910,1155,894,1146,10,3,0,0,5,5,0,0,4,0
50,44,1,44001,Rhode Island,Bristol County,1,16,1955,832,1123,822,1114,6,2,0,0,2,4,0,0,1,4
50,44,1,44001,Rhode Island,Bristol County,1,17,1314,528,786,527,782,0,2,0,0,1,1,0,0,0,9
50,44,1,44001,Rhode Island,Bristol County,1,18,1086,293,793,288,784,0,3,0,2,3,2,1,0,2,3
50,44,1,44001,Rhode Island,Bristol County,1,99,50653,24427,26226,23737,25552,216,167,50,42,252,257,8,9,287,286
50,44,1,44001,Rhode Island,Bristol County,2,0,518,282,236,271,228,1,1,1,0,2,0,0,0,6,1
50,44,1,44001,Rhode Island,Bristol County,2,1,2208,1111,1097,1065,1048,10,12,3,5,13,16,0,0,24,26
50,44,1,44001,Rhode Island,Bristol County,2,2,3351,1743,1608,1667,1533,19,19,4,1,27,23,1,3,25,20
50,44,1,44001,Rhode Island,Bristol County,2,3,3514,1837,1677,1773,1632,22,13,3,2,16,16,2,1,26,26
50,44,1,44001,Rhode Island,Bristol County,2,4,3955,1957,1998,1886,1905,17,32,8,4,27,31,0,2,37,42
50,44,1,44001,Rhode Island,Bristol County,2,5,2889,1530,1359,1449,1300,31,17,10,6,22,19,0,0,43,24
50,44,1,44001,Rhode Island,Bristol County,2,6,2452,1195,1257,1148,1217,15,17,2,2,21,14,1,1,21,19
50,44,1,44001,Rhode Island,Bristol County,2,7,2956,1470,1486,1432,1435,14,11,4,4,13,21,0,2,19,18
50,44,1,44001,Rhode Island,Bristol County,2,8,4050,1894,2156,1831,2116,20,14,5,1,25,14,3,0,23,25
50,44,1,44001,Rhode Island,Bristol County,2,9,4394,2133,2261,2084,2209,18,3,4,6,23,34,0,0,22,20
50,44,1,44001,Rhode Island,Bristol County,2,10,3922,1909,2013,1875,1978,11,4,1,5,17,16,0,0,6,13
50,44,1,44001,Rhode Island,Bristol County,2,11,3382,1640,1742,1607,1710,13,6,2,1,13,14,0,0,10,15
50,44,1,44001,Rhode Island,Bristol County,2,12,2570,1270,1300,1256,1282,1,1,1,1,7,8,0,0,5,10
50,44,1,44001,Rhode Island,Bristol County,2,13,2064,984,1080,968,1060,3,0,1,1,9,10,0,0,9,7
50,44,1,44001,Rhode Island,Bristol County,2,14,2044,927,1117,911,1096,5,7,1,1,6,9,0,0,4,4
50,44,1,44001,Rhode Island,Bristol County,2,15,2061,909,1152,893,1143,10,3,0,0,5,5,0,0,4,0
50,44,1,44001,Rhode Island,Bristol County,2,16,1954,831,1123,821,1114,6,2,0,0,2,4,0,0,1,4
50,44,1,44001,Rhode Island,Bristol County,2,17,1320,532,788,531,784,0,2,0,0,1,1,0,0,0,9
50,44,1,44001,Rhode Island,Bristol County,2,18,1093,297,796,292,787,0,3,0,2,3,2,1,0,2,3
50,44,1,44001,Rhode Island,Bristol County,2,99,50697,24451,26246,23760,25577,216,167,50,42,252,257,8,9,287,286
50,44,1,44001,Rhode Island,Bristol County,3,0,466,225,241,214,234,1,1,1,0,2,0,0,0,4,5
50,44,1,44001,Rhode Island,Bristol County,3,1,2192,1134,1058,1078,1012,15,12,3,5,16,14,0,0,28,24
50,44,1,44001,Rhode Island,Bristol County,3,2,3293,1671,1622,1595,1540,18,18,4,1,27,27,1,2,23,29
50,44,1,44001,Rhode Island,Bristol County,3,3,3601,1875,1726,1802,1668,24,19,3,3,19,18,1,1,28,30
50,44,1,44001,Rhode Island,Bristol County,3,4,4064,2059,2005,1984,1916,20,35,9,4,26,26,0,2,43,46
50,44,1,44001,Rhode Island,Bristol County,3,5,2990,1579,1411,1501,1349,29,16,10,6,21,23,0,0,58,29
50,44,1,44001,Rhode Island,Bristol County,3,6,2334,1163,1171,1111,1126,18,21,2,2,24,15,0,1,23,20
50,44,1,44001,Rhode Island,Bristol County,3,7,2849,1359,1490,1320,1436,13,13,4,4,15,24,0,1,24,24
50,44,1,44001,Rhode Island,Bristol County,3,8,3890,1856,2034,1787,1990,22,14,5,1,29,17,3,0,28,22
50,44,1,44001,Rhode Island,Bristol County,3,9,4499,2167,2332,2120,2279,15,6,4,5,23,34,0,0,28,22
50,44,1,44001,Rhode Island,Bristol County,3,10,4150,2022,2128,1981,2090,12,5,1,5,23,18,0,0,7,14
50,44,1,44001,Rhode Island,Bristol County,3,11,3475,1692,1783,1655,1747,14,6,2,1,16,17,0,0,11,18
50,44,1,44001,Rhode Island,Bristol County,3,12,2653,1322,1331,1304,1311,2,1,1,1,10,10,0,0,6,11
50,44,1,44001,Rhode Island,Bristol County,3,13,2078,974,1104,957,1084,3,0,1,1,10,11,0,0,12,9
50,44,1,44001,Rhode Island,Bristol County,3,14,1990,897,1093,880,1071,5,7,1,1,8,10,0,0,5,8
50,44,1,44001,Rhode Island,Bristol County,3,15,2022,896,1126,880,1119,10,3,0,0,5,3,0,0,4,1
50,44,1,44001,Rhode Island,Bristol County,3,16,1906,811,1095,801,1085,6,3,0,0,2,4,0,0,1,4
50,44,1,44001,Rhode Island,Bristol County,3,17,1388,558,830,557,826,0,2,0,0,1,1,0,0,0,9
50,44,1,44001,Rhode Island,Bristol County,3,18,1102,303,799,298,790,0,2,0,2,3,2,1,0,2,4
50,44,1,44001,Rhode Island,Bristol County,3,99,50942,24563,26379,23825,25673,227,184,51,42,280,274,6,7,335,329
50,44,1,44001,Rhode Island,Bristol County,4,0,487,232,255,220,247,1,1,1,0,2,0,0,0,5,3
50,44,1,44001,Rhode Island,Bristol County,4,1,2151,1094,1057,1039,1008,11,12,3,4,15,11,0,0,27,31
50,44,1,44001,Rhode Island,Bristol County,4,2,3197,1632,1565,1556,1489,21,16,3,2,23,27,1,2,32,30
50,44,1,44001,Rhode Island,Bristol County,4,3,3644,1885,1759,1800,1695,24,20,3,5,26,21,1,1,28,19
50,44,1,44001,Rhode Island,Bristol County,4,4,4429,2237,2192,2152,2090,23,39,8,4,29,31,0,2,49,57
50,44,1,44001,Rhode Island,Bristol County,4,5,3348,1778,1570,1679,1500,34,21,10,4,30,23,0,0,52,40
50,44,1,44001,Rhode Island,Bristol County,4,6,2315,1176,1139,1118,1088,17,20,2,2,28,22,1,1,35,25
50,44,1,44001,Rhode Island,Bristol County,4,7,2808,1319,1489,1280,1433,12,17,4,3,15,23,0,1,26,33
50,44,1,44001,Rhode Island,Bristol County,4,8,3702,1774,1928,1698,1884,23,12,5,1,37,19,2,0,30,17
50,44,1,44001,Rhode Island,Bristol County,4,9,4443,2156,2287,2106,2235,19,5,4,6,23,33,0,0,27,27
50,44,1,44001,Rhode Island,Bristol County,4,10,4273,2075,2198,2035,2162,14,6,1,5,19,16,0,0,14,15
50,44,1,44001,Rhode Island,Bristol County,4,11,3500,1707,1793,1656,1755,20,8,3,2,23,19,0,0,9,19
50,44,1,44001,Rhode Island,Bristol County,4,12,2910,1429,1481,1413,1461,2,1,2,1,6,9,0,0,6,12
50,44,1,44001,Rhode Island,Bristol County,4,13,2131,1047,1084,1030,1065,3,0,2,1,9,10,0,0,9,8
50,44,1,44001,Rhode Island,Bristol County,4,14,1950,864,1086,849,1061,5,7,1,1,6,13,0,0,4,9
50,44,1,44001,Rhode Island,Bristol County,4,15,1976,876,1100,859,1089,10,3,0,0,6,6,0,0,6,1
50,44,1,44001,Rhode Island,Bristol County,4,16,1899,801,1098,791,1088,6,3,0,0,2,4,0,0,1,4
50,44,1,44001,Rhode Island,Bristol County,4,17,1471,573,898,572,893,0,2,0,0,1,1,0,0,0,8
50,44,1,44001,Rhode Island,Bristol County,4,18,1216,369,847,364,837,1,3,0,2,3,2,1,0,2,4
50,44,1,44001,Rhode Island,Bristol County,4,99,51850,25024,26826,24217,26080,246,196,52,43,303,290,6,7,362,362
50,44,1,44001,Rhode Island,Bristol County,5,0,478,235,243,224,232,1,1,1,0,3,0,0,0,4,4
50,44,1,44001,Rhode Island,Bristol County,5,1,2099,1075,1024,1016,960,14,18,3,5,13,14,0,0,29,34
50,44,1,44001,Rhode Island,Bristol County,5,2,3145,1559,1586,1485,1517,15,15,4,3,24,23,1,2,30,44
50,44,1,44001,Rhode Island,Bristol County,5,3,3577,1871,1706,1792,1634,20,18,4,3,24,26,1,1,37,18
50,44,1,44001,Rhode Island,Bristol County,5,4,4440,2261,2179,2169,2085,27,36,9,4,31,27,0,2,52,56
50,44,1,44001,Rhode Island,Bristol County,5,5,3449,1816,1633,1722,1561,31,23,10,5,29,21,0,0,57,47
50,44,1,44001,Rhode Island,Bristol County,5,6,2222,1127,1095,1068,1049,19,16,2,2,25,19,1,1,37,26
50,44,1,44001,Rhode Island,Bristol County,5,7,2697,1280,1417,1241,1357,11,17,3,3,16,26,0,1,30,37
50,44,1,44001,Rhode Island,Bristol County,5,8,3539,1698,1841,1629,1785,19,12,5,1,34,32,2,0,28,20
50,44,1,44001,Rhode Island,Bristol County,5,9,4308,2032,2276,1978,2222,18,7,4,6,25,31,1,0,24,21
50,44,1,44001,Rhode Island,Bristol County,5,10,4364,2152,2212,2109,2165,9,8,1,6,26,23,0,0,17,17
50,44,1,44001,Rhode Island,Bristol County,5,11,3604,1755,1849,1700,1813,23,9,3,2,23,16,0,0,14,19
50,44,1,44001,Rhode Island,Bristol County,5,12,3009,1462,1547,1440,1524,4,1,3,1,8,10,0,0,7,15
50,44,1,44001,Rhode Island,Bristol County,5,13,2307,1149,1158,1129,1136,5,0,2,1,10,13,0,0,7,8
50,44,1,44001,Rhode Island,Bristol County,5,14,1903,852,1051,834,1026,5,6,1,2,7,13,0,0,4,10
50,44,1,44001,Rhode Island,Bristol County,5,15,1879,821,1058,803,1047,8,3,0,0,8,7,0,0,7,1
50,44,1,44001,Rhode Island,Bristol County,5,16,1868,796,1072,785,1063,7,3,0,0,2,4,0,0,1,4
50,44,1,44001,Rhode Island,Bristol County,5,17,1495,579,916,578,911,0,2,0,0,1,1,0,0,0,8
50,44,1,44001,Rhode Island,Bristol County,5,18,1275,397,878,393,870,1,2,0,1,2,2,1,0,2,4
50,44,1,44001,Rhode Island,Bristol County,5,99,51658,24917,26741,24095,25957,237,197,55,45,311,308,7,7,387,393
50,44,1,44001,Rhode Island,Bristol County,6,0,505,256,249,246,239,1,1,1,0,3,0,0,0,5,6
50,44,1,44001,Rhode Island,Bristol County,6,1,2003,1001,1002,948,934,13,19,2,5,12,16,0,0,30,36
50,44,1,44001,Rhode Island,Bristol County,6,2,3071,1534,1537,1450,1473,19,15,2,3,30,17,1,2,39,49
50,44,1,44001,Rhode Island,Bristol County,6,3,3555,1879,1676,1788,1603,18,18,4,3,33,27,1,0,33,18
50,44,1,44001,Rhode Island,Bristol County,6,4,4664,2377,2287,2276,2191,32,33,9,4,26,31,1,1,55,56
50,44,1,44001,Rhode Island,Bristol County,6,5,3755,1953,1802,1847,1724,38,25,10,7,32,22,0,0,56,55
50,44,1,44001,Rhode Island,Bristol County,6,6,2266,1142,1124,1089,1075,19,18,2,2,18,21,1,1,39,22
50,44,1,44001,Rhode Island,Bristol County,6,7,2559,1224,1335,1184,1279,13,13,3,4,14,26,0,1,34,26
50,44,1,44001,Rhode Island,Bristol County,6,8,3336,1616,1720,1543,1658,20,15,5,1,37,36,2,0,26,24
50,44,1,44001,Rhode Island,Bristol County,6,9,4309,2032,2277,1958,2219,26,6,4,5,35,37,1,0,28,25
50,44,1,44001,Rhode Island,Bristol County,6,10,4406,2141,2265,2090,2217,13,7,2,5,28,25,0,0,23,21
50,44,1,44001,Rhode Island,Bristol County,6,11,3733,1852,1881,1804,1837,20,12,3,2,18,18,0,0,14,19
50,44,1,44001,Rhode Island,Bristol County,6,12,3113,1490,1623,1464,1595,7,1,3,1,9,12,0,0,9,17
50,44,1,44001,Rhode Island,Bristol County,6,13,2440,1217,1223,1200,1200,5,0,2,1,8,14,0,0,9,14
50,44,1,44001,Rhode Island,Bristol County,6,14,1911,863,1048,843,1024,5,6,1,2,7,12,0,0,5,11
50,44,1,44001,Rhode Island,Bristol County,6,15,1828,801,1027,786,1016,7,3,0,0,6,5,0,0,5,1
50,44,1,44001,Rhode Island,Bristol County,6,16,1845,770,1075,756,1063,7,3,0,0,4,7,0,0,1,4
50,44,1,44001,Rhode Island,Bristol County,6,17,1535,603,932,600,927,2,2,0,0,1,1,0,0,1,8
50,44,1,44001,Rhode Island,Bristol County,6,18,1379,445,934,440,926,1,2,0,1,2,2,1,0,2,4
50,44,1,44001,Rhode Island,Bristol County,6,99,52213,25196,27017,24312,26200,266,199,53,46,323,329,8,5,414,416
50,44,1,44001,Rhode Island,Bristol County,7,0,465,237,228,231,217,1,1,0,0,1,1,0,0,3,7
50,44,1,44001,Rhode Island,Bristol County,7,1,1985,1021,964,957,900,24,16,2,5,10,17,0,0,35,43
50,44,1,44001,Rhode Island,Bristol County,7,2,3037,1510,1527,1424,1454,17,16,2,5,27,20,0,1,52,55
50,44,1,44001,Rhode Island,Bristol County,7,3,3479,1825,1654,1738,1569,17,19,5,3,30,32,1,1,32,25
50,44,1,44001,Rhode Island,Bristol County,7,4,4561,2329,2232,2228,2140,28,34,7,3,26,28,1,1,54,50
50,44,1,44001,Rhode Island,Bristol County,7,5,3822,2000,1822,1888,1743,35,24,6,4,35,24,1,0,55,56
50,44,1,44001,Rhode Island,Bristol County,7,6,2233,1153,1080,1099,1043,17,13,2,4,20,12,0,0,35,33
50,44,1,44001,Rhode Island,Bristol County,7,7,2364,1138,1226,1100,1162,10,17,2,2,17,30,0,1,34,27
50,44,1,44001,Rhode Island,Bristol County,7,8,3151,1503,1648,1450,1590,16,9,1,4,27,32,2,0,27,23
50,44,1,44001,Rhode Island,Bristol County,7,9,4161,1936,2225,1858,2169,21,10,3,4,42,32,1,0,27,27
50,44,1,44001,Rhode Island,Bristol County,7,10,4462,2182,2280,2129,2207,15,15,2,5,27,44,0,0,22,26
50,44,1,44001,Rhode Island,Bristol County,7,11,3833,1860,1973,1811,1931,16,13,3,2,21,15,0,0,21,15
50,44,1,44001,Rhode Island,Bristol County,7,12,3253,1590,1663,1561,1639,10,4,2,0,8,8,0,0,8,16
50,44,1,44001,Rhode Island,Bristol County,7,13,2472,1222,1250,1202,1231,5,3,2,1,8,12,0,0,8,12
50,44,1,44001,Rhode Island,Bristol County,7,14,1893,875,1018,860,999,3,4,1,1,8,9,0,0,6,9
50,44,1,44001,Rhode Island,Bristol County,7,15,1785,785,1000,771,989,6,1,0,0,7,8,0,0,7,4
50,44,1,44001,Rhode Island,Bristol County,7,16,1741,718,1023,706,1014,6,4,0,0,2,2,0,0,1,4
50,44,1,44001,Rhode Island,Bristol County,7,17,1517,610,907,606,901,1,3,0,0,2,1,0,0,3,5
50,44,1,44001,Rhode Island,Bristol County,7,18,1453,471,982,465,976,2,3,0,1,2,1,1,0,1,5
50,44,1,44001,Rhode Island,Bristol County,7,99,51667,24965,26702,24084,25874,250,209,40,44,320,328,7,4,431,442
50,44,1,44001,Rhode Island,Bristol County,8,0,446,215,231,206,220,1,1,0,0,3,1,0,0,5,8
50,44,1,44001,Rhode Island,Bristol County,8,1,1948,979,969,911,897,16,17,3,6,16,14,0,0,40,50
50,44,1,44001,Rhode Island,Bristol County,8,2,2990,1492,1498,1394,1404,26,15,3,6,31,32,1,0,55,56
50,44,1,44001,Rhode Island,Bristol County,8,3,3296,1691,1605,1604,1523,19,21,4,3,27,27,0,0,32,29
50,44,1,44001,Rhode Island,Bristol County,8,4,4486,2297,2189,2189,2098,30,30,7,2,29,30,1,0,60,46
50,44,1,44001,Rhode Island,Bristol County,8,5,3872,2017,1855,1910,1770,34,27,7,5,31,23,1,0,51,69
