SUMLEV,STATE,COUNTY,FIPStxt,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,H_MALE,H_FEMALE
50,45,1,45001,South Carolina,Abbeville County,1,0,338,175,163,118,108,53,52,0,0,0,0,0,0,2,1
50,45,1,45001,South Carolina,Abbeville County,1,1,1423,717,706,469,433,239,259,0,0,1,1,0,1,9,14
50,45,1,45001,South Carolina,Abbeville County,1,2,1812,936,876,580,513,341,354,0,0,1,0,0,1,17,18
50,45,1,45001,South Carolina,Abbeville County,1,3,1911,974,937,633,561,330,365,2,0,2,3,1,0,14,8
50,45,1,45001,South Carolina,Abbeville County,1,4,1925,985,940,655,604,320,328,2,1,4,2,0,1,10,8
50,45,1,45001,South Carolina,Abbeville County,1,5,1706,798,908,550,625,236,279,0,0,5,2,1,0,12,9
50,45,1,45001,South Carolina,Abbeville County,1,6,1548,739,809,529,506,205,294,2,2,0,2,1,0,9,9
50,45,1,45001,South Carolina,Abbeville County,1,7,1678,802,876,552,537,246,332,0,0,3,5,1,0,9,8
50,45,1,45001,South Carolina,Abbeville County,1,8,1823,879,944,629,635,246,302,1,0,1,4,0,0,5,8
50,45,1,45001,South Carolina,Abbeville County,1,9,1931,939,992,672,668,262,316,1,4,0,0,0,1,6,7
50,45,1,45001,South Carolina,Abbeville County,1,10,1924,945,979,695,658,245,310,2,3,0,3,0,0,5,4
50,45,1,45001,South Carolina,Abbeville County,1,11,1783,889,894,655,598,221,290,2,0,4,2,0,0,4,2
50,45,1,45001,South Carolina,Abbeville County,1,12,1358,652,706,487,517,162,184,1,1,1,3,0,0,2,2
50,45,1,45001,South Carolina,Abbeville County,1,13,1161,571,590,405,402,159,183,2,1,1,1,0,0,5,1
50,45,1,45001,South Carolina,Abbeville County,1,14,1082,487,595,378,437,108,152,0,0,0,2,0,0,2,4
50,45,1,45001,South Carolina,Abbeville County,1,15,972,441,531,358,399,81,132,0,0,0,0,0,0,0,2
50,45,1,45001,South Carolina,Abbeville County,1,16,826,315,511,256,410,59,96,0,0,0,3,0,0,1,0
50,45,1,45001,South Carolina,Abbeville County,1,17,464,156,308,116,250,39,58,0,0,0,0,0,0,0,0
50,45,1,45001,South Carolina,Abbeville County,1,18,488,139,349,100,270,37,77,0,0,2,1,0,0,0,0
50,45,1,45001,South Carolina,Abbeville County,1,99,26153,12539,13614,8837,9131,3589,4363,15,12,25,34,4,4,112,105
50,45,1,45001,South Carolina,Abbeville County,2,0,342,175,167,119,110,54,53,0,0,0,0,0,0,2,1
50,45,1,45001,South Carolina,Abbeville County,2,1,1417,713,704,468,433,238,257,0,0,1,1,0,1,9,14
50,45,1,45001,South Carolina,Abbeville County,2,2,1806,933,873,578,511,341,353,0,0,1,0,0,1,17,18
50,45,1,45001,South Carolina,Abbeville County,2,3,1922,978,944,634,564,333,369,2,0,2,3,1,0,14,8
50,45,1,45001,South Carolina,Abbeville County,2,4,1940,998,942,665,605,323,329,2,1,4,2,0,1,10,8
50,45,1,45001,South Carolina,Abbeville County,2,5,1719,803,916,555,631,236,281,0,0,5,2,1,0,12,9
50,45,1,45001,South Carolina,Abbeville County,2,6,1538,738,800,526,501,207,290,2,2,0,2,1,0,9,9
50,45,1,45001,South Carolina,Abbeville County,2,7,1683,805,878,555,538,246,333,0,0,3,5,1,0,9,8
50,45,1,45001,South Carolina,Abbeville County,2,8,1813,872,941,626,632,242,302,1,0,1,4,0,0,5,8
50,45,1,45001,South Carolina,Abbeville County,2,9,1933,938,995,673,669,260,318,1,4,0,0,0,1,6,7
50,45,1,45001,South Carolina,Abbeville County,2,10,1933,947,986,696,662,246,313,2,3,0,3,0,0,5,4
50,45,1,45001,South Carolina,Abbeville County,2,11,1801,897,904,660,604,224,294,2,0,4,2,0,0,4,2
50,45,1,45001,South Carolina,Abbeville County,2,12,1367,657,710,491,520,163,185,1,1,1,3,0,0,2,2
50,45,1,45001,South Carolina,Abbeville County,2,13,1169,575,594,408,405,160,184,2,1,1,1,0,0,5,1
50,45,1,45001,South Carolina,Abbeville County,2,14,1081,487,594,377,435,109,153,0,0,0,2,0,0,2,4
50,45,1,45001,South Carolina,Abbeville County,2,15,976,443,533,360,401,81,132,0,0,0,0,0,0,0,2
50,45,1,45001,South Carolina,Abbeville County,2,16,831,316,515,257,413,59,97,0,0,0,3,0,0,1,0
50,45,1,45001,South Carolina,Abbeville County,2,17,466,157,309,117,251,39,58,0,0,0,0,0,0,0,0
50,45,1,45001,South Carolina,Abbeville County,2,18,492,141,351,102,272,37,77,0,0,2,1,0,0,0,0
50,45,1,45001,South Carolina,Abbeville County,2,99,26229,12573,13656,8867,9157,3598,4378,15,12,25,34,4,4,112,105
50,45,1,45001,South Carolina,Abbeville County,3,0,317,178,139,127,94,49,43,0,0,0,0,0,0,2,1
50,45,1,45001,South Carolina,Abbeville County,3,1,1390,714,676,476,424,224,239,0,0,1,1,0,1,7,13
50,45,1,45001,South Carolina,Abbeville County,3,2,1765,901,864,571,513,316,341,0,0,1,0,0,1,16,17
50,45,1,45001,South Carolina,Abbeville County,3,3,1971,989,982,654,599,324,371,2,0,2,3,1,0,15,7
50,45,1,45001,South Carolina,Abbeville County,3,4,1989,1019,970,688,620,319,342,2,1,5,2,0,1,12,8
50,45,1,45001,South Carolina,Abbeville County,3,5,1751,809,942,565,641,232,297,0,0,5,2,1,0,17,11
50,45,1,45001,South Carolina,Abbeville County,3,6,1470,706,764,489,508,213,247,2,2,0,2,0,0,8,9
