headlines,terms,dates
"trump rails against biden, 'radical left democrats' over movement to defund police",trump,2020-06-07
trump withdraws national guard from dc now that 'everything is under perfect control',trump,2020-06-07
"clinton calls trump 'failure' in blistering interview, questions how anyone 'with a beating heart and a working mind' supports him",trump,2020-06-07
"mike huckabee encourages all republicans to 'make the right move,' support trump's reelection",trump,2020-06-07
mattis criticism shows president trump's 'manner of leadership' is 'catching up to him': paul gigot,trump,2020-06-07
"'watters' world' exclusive: pence hits biden over silence on riot victims, defends trump's church visit",trump,2020-06-07
dc mayor defends protests; blasts trump's move to call in u.s. troops,trump,2020-06-07
john sununu on new polls favoring biden: trump's rhetoric getting him into 'real trouble',trump,2020-06-08
"trump shrugs off colin powell’s support for biden, brings up wmd un speech",trump,2020-06-08
president trump rejects threats to cut police budgets,trump,2020-06-08
steve hilton: trump's gains with african-americans will be lost if he does not lead on police reform,trump,2020-06-08
trump says he wants to see policing done in a 'more gentle fashion',trump,2020-06-08
"joy behar mocks trump's 'stupid' white house fence blocking protesters: 'you're a loser, you're done'",trump,2020-06-08
steve hilton: it's time for trump to step up and reform policing,trump,2020-06-08
trump mocks romney for marching with protesters to white house: ‘what a guy’,trump,2020-06-08
trump adviser slams 'weak statement' from biden campaign on calls to defund police,trump,2020-06-08
"rome archbishop urges trump to fight ‘deep state’ amid criticism over protests, coronavirus",trump,2020-06-08
mcenany: trump believes there are 'instances of racism’ but most cops are ‘good people’,trump,2020-06-08
trump supporters pumping thousands into aoc's primary opponent's coffers: report,trump,2020-06-08
trump to resume trademark campaign rallies after coronavirus hiatus,trump,2020-06-08
tammy bruce: why the gop establishment turning against trump confirms what we suspected,trump,2020-06-08
"trump takes aim at nfl, wonders whether roger goodell will allow players to kneel for national anthem",trump,2020-06-08
pro-biden pac aims to weaken trump with seniors in key battlegrounds,trump,2020-06-08
"big majority backs protests as trump, biden debate police role",trump,2020-06-09
guy benson: on trump’s conspiratorial tweet “it debases the office” & “poisoning our national dialog”,trump,2020-06-09
guy benson: on trump’s conspiratorial tweet “it debases the office” & “poisoning our national dialogue”,trump,2020-06-09
village people singer victor willis asks trump to stop playing 'ymca' and 'macho man' at rallies,trump,2020-06-09
new york times fiasco: media bring trump model to racial issues,trump,2020-06-09
"spike lee mocks trump, says voters must go 'hell no to agent orange' or 'world is in peril'",trump,2020-06-09
donald trump jr. says dems calling for police to be defunded should first call for security details to be cut,trump,2020-06-09
"trump to announce executive, legislative actions on police reform: sources",trump,2020-06-09
cal thomas: trump and african-americans – these are the actions he must take now,trump,2020-06-09
"marc thiessen: if dems back defunding police, trump will win reelection",trump,2020-06-09
"'tiger king' joe exotic says husband abandoned him, begs donald trump, cardi b and kim kardashian for help",trump,2020-06-09
george w. bush’s office calls claim he won’t back trump ‘completely made up’,trump,2020-06-09
trump takes heat for suggesting man shoved by buffalo police may be ‘antifa provocateur’,trump,2020-06-09
rnc chairwoman believes trump will be holding 'full rallies' with safety precautions,trump,2020-06-09
"president trump, senate republicans to put forward proposals for possible police reform",trump,2020-06-09
"george p. bush, texas land commissioner and son of jeb, will vote for trump",trump,2020-06-09
"barr says fbi was ‘spring-loaded’ to investigate trump campaign, ignored ‘exculpatory evidence’",trump,2020-06-09
meghan mccain claims push to 'defund the police' is helping trump reelection bid,trump,2020-06-09
brit hume on nyt's backlash to cotton op-ed: this is journalism in the age of trump,trump,2020-06-09
"romney says he believes gop will maintain control of senate, trump will be reelected",trump,2020-06-10
trump jr. calls out biden over comments urging action against police brutality,trump,2020-06-10
top trump campaign spokesman says biden is on the 'defund police' train 'whether he knows it or not',trump,2020-06-10
doug collins on barr's fox news interview: we were right about fbi wanting to 'get' trump,trump,2020-06-10
trump says his administration 'will not even consider' renaming military bases named for confederates,trump,2020-06-10
spike lee compliments saints' drew brees for standing up to trump over anthem remarks: report,trump,2020-06-10
pro-trump activist scott presler travels nation to 'make america clean and great again',trump,2020-06-10
"alyssa milano, more stars rip trump for suggesting man shoved by buffalo police may be ‘antifa provocateur’",trump,2020-06-10
aoc denounces 'horrendous' trump tweet about 75-year-old buffalo protester injured by police,trump,2020-06-10
chris stirewalt: trump campaign is 'demonstrably worse off' than in 2016,trump,2020-06-10
president trump expected to issue executive order to implement police reforms at the executive level,trump,2020-06-10
"brian arbour: trump reelection threatened by low approval ratings, coronavirus pandemic and racial strife",trump,2020-06-10
"trump says he intends to hold rallies in oklahoma, florida, arizona, north carolina after coronavirus hiatus",trump,2020-06-10
tim graham: fact-checkers vs. trump – here's what they are too biased to recognize,trump,2020-06-10
"us men's soccer player weston mckinnie slams trump as 'ignorant,' 'racist'",trump,2020-06-10
biden ‘convinced’ us military would intervene if trump refused to leave white house - fox news,trump,2020-06-11
president trump says the 'horror' of george floyd's death is unfairly stereotyping america's police officers,trump,2020-06-11
joe biden fears president trump will try to 'steal this election',trump,2020-06-11
biden says trump will attempt to 'steal' presidential election,trump,2020-06-11
"trump vows executive order to address law enforcement use of force, but slams 'defund the police' movement",trump,2020-06-11
trump administration reverses ban on controversial hunting practices at alaska's national preserves,trump,2020-06-11
trump campaign urges tv networks to cover biden events: expose his 'rambling displays of incoherence',trump,2020-06-11
dems rip trump for planning tulsa rally on juneteenth,trump,2020-06-11
snoop dogg addresses trump supporters: 'f--k you',trump,2020-06-11
