date,text
2020-06-21,biden campaign blasts trump's 'outrageous' comments on coronavirus testing
2020-06-21,atlanta mayor calls trump's tulsa rally 'an embarrassment'
2020-06-21,opinion: trump's tulsa rally was a flop
2020-06-21,sick staff and empty seats: how trump's triumphant return to the campaign trail went from bad to worse
2020-06-21,fact check: trump's tulsa rally littered with familiar false claims
2020-06-21,trump's tulsa rally was a flop
2020-06-21,"tulsa official says 6,200 attended trump rally as campaign tries to blame 'radical' protesters and media for lack of crowd"
2020-06-21,"while trump wages a political war, dangerous conflicts unfold in asia"
2020-06-22,"trump spreads new lies about foreign-backed voter fraud, stoking fears of a 'rigged election'"
2020-06-22,democrats look to weaponize trump's 'slow the testing down' comment
2020-06-22,trump aides debate future size and look of signature rallies after tulsa debacle
2020-06-22,trump's 'kidding' on testing exposes his negligence as virus spikes
2020-06-22,biden campaign agrees to 3 debates with trump and slams push for more debates as a 'distraction'
2020-06-22,my mom blazed trail for women vp picks. biden's choice is crucial
2020-06-22,the us wasn't prepared for covid-19: dr. sanjay gupta's coronavirus podcast for june 22
2020-06-22,the right title for bolton's book
2020-06-23,trump's war against mail-in voting lacks republican allies
2020-06-23,rayshard brooks' funeral tuesday keeps the spotlight on atlanta
2020-06-23,analysis: trump's testing claim is the latest in a pattern of supposed jokes
2020-06-23,trump's pandemic failing is now directly impacting his campaign
2020-06-23,the old-school campaign tactic that's boosting biden
2020-06-23,5 things to watch in tuesday night's kentucky and new york primary contests
2020-06-23,barack obama plans to discuss 'turbulent moment' in us history in first virtual fundraiser with joe biden
2020-06-23,joe biden frightens donald trump
2020-06-23,democrats go on offense against trump on trade and china
2020-06-23,it's too early to conclude that trump has lost his magic
2020-06-23,presidential debates and modi's china challenge
2020-06-23,second presidential debate moved to miami after original host pulls out due to coronavirus concerns
2020-06-23,trump's outrageous new vote-by-mail attack
2020-06-24,"3 takeaways from primary night in ny, kentucky and north carolina"
2020-06-24,obama calls out republicans for enabling the white house
2020-06-24,calls are growing to defund police in the us. here are some lessons from overseas
2020-06-24,these are the closely watched primary races that haven't yet been called
2020-06-24,biden campaign grows digital operation to contend with virtual trail
2020-06-24,house democrats seek to enhance obamacare ahead of trump push to dismantle the law
2020-06-24,joe biden expected to make new healthcare push after trump's 'slow down the testing' comment
2020-06-24,biden campaign continues to pressure facebook and twitter over trump's false voter fraud claims
2020-06-24,polls in wisconsin and ohio bring good news for joe biden
2020-06-24,gop aghast as trump's polls sink amid divisive racial rhetoric: 'it's been a bad couple weeks'
2020-06-24,biden leads trump by 14 points in nyt/siena college poll
2020-06-24,political newcomer beats trump's pick in north carolina gop congressional primary
2020-06-25,trump is desperate -- and dangerous
2020-06-25,wall street's nightmare: elizabeth warren as treasury secretary
2020-06-25,trump entrenched in failed strategy as virus surges and polling drops
2020-06-25,the top 10 women joe biden might pick as vice president
2020-06-25,biden says trump's 'senseless crusade' to end obamacare would harm those with coronavirus
2020-06-26,analysis: what is trump's agenda for a second term? he can't say
2020-06-26,democrats see clear path to take back the senate: 'something real is shaping up around the country'
2020-06-26,trump administration asks supreme court to invalidate obamacare
2020-06-26,nation's reckoning on race looms large over final month of biden's running mate search
2020-06-26,"fact check: trump falsely claims biden, who has committed to the debates, is trying to get out of debating"
2020-06-26,why democrats need to prioritize statehood for dc and puerto rico
2020-06-26,"fact check: trump falsely claims biden, who has committed to the debates, is trying to get out of debating"
2020-06-26,the three women who should be at the top of biden's vp list
2020-06-26,biden says he would make wearing face masks mandatory for americans amid coronavirus pandemic
2020-06-26,planned parenthood acting president takes role permanently
2020-06-26,liz cheney posts photo of former vp in face mask and says 'real men wear masks'
2020-06-27,"fact-checking biden on gop tax cuts, naacp endorsement, and other false and misleading claims"
2020-06-27,biden: trump's entire presidency has been a gift to putin
2020-06-27,biden campaign releases staff diversity data
2020-06-27,biden campaign releases staff diversity data
