,score,date
152,1,2020-05-28 22:51:41+00:00
153,1,2020-05-28 22:51:09+00:00
154,1,2020-05-28 22:51:06+00:00
155,1,2020-05-28 22:50:27+00:00
156,2,2020-05-28 22:50:21+00:00
157,1,2020-05-28 22:50:10+00:00
158,2,2020-05-28 22:49:37+00:00
159,1,2020-05-28 22:49:10+00:00
160,2,2020-05-28 22:49:06+00:00
161,1,2020-05-28 22:48:59+00:00
162,1,2020-05-28 22:48:43+00:00
163,2,2020-05-28 22:47:40+00:00
164,2,2020-05-28 22:47:28+00:00
165,1,2020-05-28 22:47:24+00:00
166,1,2020-05-28 22:47:02+00:00
167,2,2020-05-28 22:46:34+00:00
168,1,2020-05-28 22:46:22+00:00
169,1,2020-05-28 22:46:18+00:00
170,2,2020-05-28 22:45:55+00:00
171,2,2020-05-28 22:45:44+00:00
172,2,2020-05-28 22:45:32+00:00
173,1,2020-05-28 22:45:19+00:00
174,2,2020-05-28 22:44:47+00:00
175,1,2020-05-28 22:44:40+00:00
176,2,2020-05-28 22:44:16+00:00
177,2,2020-05-28 22:43:59+00:00
178,2,2020-05-28 22:43:58+00:00
179,1,2020-05-28 22:43:46+00:00
180,2,2020-05-28 22:43:27+00:00
181,2,2020-05-28 22:43:23+00:00
182,1,2020-05-28 22:43:22+00:00
183,1,2020-05-28 22:43:12+00:00
184,1,2020-05-28 22:43:08+00:00
185,2,2020-05-28 22:42:53+00:00
186,2,2020-05-28 22:42:47+00:00
187,1,2020-05-28 22:41:24+00:00
188,1,2020-05-28 22:41:08+00:00
189,1,2020-05-28 22:40:33+00:00
190,1,2020-05-28 22:40:21+00:00
191,2,2020-05-28 22:40:17+00:00
192,2,2020-05-28 22:39:57+00:00
193,2,2020-05-28 22:39:37+00:00
194,1,2020-05-28 22:39:33+00:00
195,2,2020-05-28 22:39:09+00:00
196,1,2020-05-28 22:38:54+00:00
197,2,2020-05-28 22:38:54+00:00
198,1,2020-05-28 22:38:43+00:00
199,1,2020-05-28 22:38:32+00:00
200,1,2020-05-28 22:38:31+00:00
201,2,2020-05-28 22:38:17+00:00
202,1,2020-05-28 22:37:55+00:00
203,2,2020-05-28 22:37:34+00:00
204,1,2020-05-28 22:37:32+00:00
205,1,2020-05-28 22:37:11+00:00
206,2,2020-05-28 22:36:40+00:00
207,1,2020-05-28 22:36:38+00:00
208,1,2020-05-28 22:36:29+00:00
209,1,2020-05-28 22:36:21+00:00
210,1,2020-05-28 22:36:19+00:00
211,1,2020-05-28 22:36:16+00:00
212,1,2020-05-28 22:36:16+00:00
213,1,2020-05-28 22:36:00+00:00
214,1,2020-05-28 22:35:54+00:00
215,2,2020-05-28 22:35:53+00:00
216,2,2020-05-28 22:35:34+00:00
217,1,2020-05-28 22:35:15+00:00
218,1,2020-05-28 22:35:14+00:00
219,1,2020-05-28 22:35:06+00:00
220,2,2020-05-28 22:34:51+00:00
221,1,2020-05-28 22:34:32+00:00
222,1,2020-05-28 22:34:25+00:00
223,1,2020-05-28 22:34:18+00:00
224,1,2020-05-28 22:34:04+00:00
225,2,2020-05-28 22:34:01+00:00
226,1,2020-05-28 22:33:59+00:00
227,1,2020-05-28 22:33:44+00:00
228,2,2020-05-28 22:33:26+00:00
229,1,2020-05-28 22:32:50+00:00
230,1,2020-05-28 22:32:44+00:00
231,2,2020-05-28 22:32:22+00:00
232,1,2020-05-28 22:32:22+00:00
233,2,2020-05-28 22:31:26+00:00
234,2,2020-05-28 22:31:02+00:00
235,2,2020-05-28 22:30:47+00:00
236,2,2020-05-28 22:29:16+00:00
237,2,2020-05-28 22:27:26+00:00
238,1,2020-05-28 22:26:35+00:00
239,2,2020-05-28 22:26:32+00:00
240,2,2020-05-28 22:25:52+00:00
241,1,2020-05-28 22:24:26+00:00
242,1,2020-05-28 22:24:22+00:00
243,1,2020-05-28 22:23:11+00:00
244,2,2020-05-28 22:22:31+00:00
245,2,2020-05-28 22:22:09+00:00
246,2,2020-05-28 22:22:09+00:00
247,2,2020-05-28 22:19:35+00:00
248,2,2020-05-28 22:18:56+00:00
249,1,2020-05-28 22:18:22+00:00
250,2,2020-05-28 22:17:51+00:00
251,1,2020-05-28 22:17:48+00:00
252,2,2020-05-28 22:17:21+00:00
253,2,2020-05-28 22:17:15+00:00
254,2,2020-05-28 22:16:53+00:00
255,2,2020-05-28 22:16:00+00:00
256,1,2020-05-28 22:15:48+00:00
257,2,2020-05-28 22:15:09+00:00
258,2,2020-05-28 22:14:24+00:00
259,2,2020-05-28 22:13:41+00:00
260,2,2020-05-28 22:12:11+00:00
261,2,2020-05-28 22:11:16+00:00
262,2,2020-05-28 22:10:42+00:00
263,2,2020-05-28 22:10:27+00:00
264,2,2020-05-28 22:09:53+00:00
265,2,2020-05-28 22:09:35+00:00
266,2,2020-05-28 22:09:21+00:00
267,2,2020-05-28 22:09:21+00:00
268,0,2020-05-28 22:08:47+00:00
269,2,2020-05-28 22:08:25+00:00
270,1,2020-05-28 22:07:36+00:00
271,1,2020-05-28 22:07:22+00:00
272,2,2020-05-28 22:07:13+00:00
273,2,2020-05-28 22:07:05+00:00
274,2,2020-05-28 22:06:52+00:00
275,2,2020-05-28 22:06:33+00:00
276,2,2020-05-28 22:05:32+00:00
277,2,2020-05-28 22:05:32+00:00
278,2,2020-05-28 22:05:10+00:00
279,2,2020-05-28 22:04:51+00:00
280,2,2020-05-28 22:04:25+00:00
281,2,2020-05-28 22:04:09+00:00
282,1,2020-05-28 22:03:21+00:00
283,2,2020-05-28 22:02:21+00:00
284,2,2020-05-28 22:02:08+00:00
285,2,2020-05-28 22:01:38+00:00
286,1,2020-05-28 22:01:16+00:00
287,1,2020-05-28 22:00:44+00:00
288,2,2020-05-28 22:00:36+00:00
289,2,2020-05-28 22:00:14+00:00
290,2,2020-05-28 21:59:38+00:00
291,2,2020-05-28 21:59:33+00:00
292,1,2020-05-28 21:58:36+00:00
293,2,2020-05-28 21:58:17+00:00
294,2,2020-05-28 21:57:55+00:00
295,2,2020-05-28 21:57:33+00:00
296,1,2020-05-28 21:56:45+00:00
297,2,2020-05-28 21:56:08+00:00
298,2,2020-05-28 21:55:55+00:00
299,2,2020-05-28 21:55:21+00:00
300,2,2020-05-28 21:55:12+00:00
301,1,2020-05-28 21:53:38+00:00
302,2,2020-05-28 21:52:55+00:00
303,2,2020-05-28 21:52:43+00:00
304,2,2020-05-28 21:51:30+00:00
305,2,2020-05-28 21:51:08+00:00
306,2,2020-05-28 21:51:07+00:00
307,1,2020-05-28 21:49:51+00:00
308,1,2020-05-28 21:49:49+00:00
309,1,2020-05-28 21:49:08+00:00
310,2,2020-05-28 21:49:07+00:00
311,2,2020-05-28 21:48:02+00:00
312,1,2020-05-28 21:47:57+00:00
313,2,2020-05-28 21:47:28+00:00
314,2,2020-05-28 21:47:25+00:00
315,2,2020-05-28 21:47:19+00:00
316,1,2020-05-28 21:46:57+00:00
317,2,2020-05-28 21:46:04+00:00
318,2,2020-05-28 21:45:43+00:00
319,1,2020-05-28 21:45:19+00:00
320,1,2020-05-28 21:44:50+00:00
321,2,2020-05-28 21:43:53+00:00
322,2,2020-05-28 21:42:52+00:00
323,1,2020-05-28 21:42:05+00:00
324,2,2020-05-28 21:41:57+00:00
325,2,2020-05-28 21:41:39+00:00
326,1,2020-05-28 21:41:30+00:00
327,2,2020-05-28 21:41:30+00:00
328,1,2020-05-28 21:41:28+00:00
329,2,2020-05-28 21:40:56+00:00
330,2,2020-05-28 21:40:50+00:00
331,2,2020-05-28 21:40:34+00:00
332,2,2020-05-28 21:40:05+00:00
333,1,2020-05-28 21:39:44+00:00
334,2,2020-05-28 21:39:31+00:00
335,2,2020-05-28 21:39:15+00:00
336,2,2020-05-28 21:38:00+00:00
337,2,2020-05-28 21:37:32+00:00
338,2,2020-05-28 21:36:42+00:00
339,2,2020-05-28 21:36:36+00:00
340,2,2020-05-28 21:35:44+00:00
341,2,2020-05-28 21:35:35+00:00
342,1,2020-05-28 21:35:20+00:00
343,2,2020-05-28 21:35:06+00:00
344,2,2020-05-28 21:34:46+00:00
345,1,2020-05-28 21:34:45+00:00
346,1,2020-05-28 21:34:42+00:00
347,2,2020-05-28 21:33:54+00:00
348,1,2020-05-28 21:33:38+00:00
349,1,2020-05-28 21:33:25+00:00
350,2,2020-05-28 21:33:00+00:00
351,2,2020-05-28 21:33:00+00:00
352,2,2020-05-28 21:32:57+00:00
353,1,2020-05-28 21:32:35+00:00
354,2,2020-05-28 21:32:35+00:00
355,2,2020-05-28 21:32:33+00:00
356,2,2020-05-28 21:32:31+00:00
357,2,2020-05-28 21:32:13+00:00
358,2,2020-05-28 21:32:08+00:00
359,2,2020-05-28 21:32:02+00:00
360,2,2020-05-28 21:32:00+00:00
361,2,2020-05-28 21:31:52+00:00
362,2,2020-05-28 21:31:39+00:00
363,2,2020-05-28 21:30:57+00:00
364,2,2020-05-28 21:30:52+00:00
365,2,2020-05-28 21:30:42+00:00
366,2,2020-05-28 21:30:14+00:00
367,2,2020-05-28 21:30:02+00:00
368,2,2020-05-28 21:29:41+00:00
369,2,2020-05-28 21:29:34+00:00
370,2,2020-05-28 21:29:31+00:00
371,2,2020-05-28 21:29:13+00:00
372,2,2020-05-28 21:29:08+00:00
373,1,2020-05-28 21:28:59+00:00
374,2,2020-05-28 21:28:29+00:00
375,2,2020-05-28 21:28:29+00:00
376,2,2020-05-28 21:27:48+00:00
377,2,2020-05-28 21:27:46+00:00
378,2,2020-05-28 21:27:45+00:00
379,2,2020-05-28 21:27:18+00:00
380,2,2020-05-28 21:26:55+00:00
381,2,2020-05-28 21:26:55+00:00
382,2,2020-05-28 21:25:48+00:00
383,1,2020-05-28 21:25:08+00:00
384,2,2020-05-28 21:24:58+00:00
385,1,2020-05-28 21:24:32+00:00
386,2,2020-05-28 21:23:55+00:00
387,2,2020-05-28 21:23:55+00:00
388,2,2020-05-28 21:23:30+00:00
389,2,2020-05-28 21:22:48+00:00
390,2,2020-05-28 21:21:10+00:00
391,1,2020-05-28 21:20:54+00:00
392,2,2020-05-28 21:20:31+00:00
393,1,2020-05-28 21:20:27+00:00
394,1,2020-05-28 21:20:07+00:00
395,1,2020-05-28 21:19:52+00:00
396,2,2020-05-28 21:19:52+00:00
397,2,2020-05-28 21:19:47+00:00
398,2,2020-05-28 21:18:59+00:00
399,2,2020-05-28 21:18:58+00:00
400,2,2020-05-28 21:18:21+00:00
401,2,2020-05-28 21:18:02+00:00
402,2,2020-05-28 21:18:01+00:00
403,2,2020-05-28 21:17:56+00:00
404,2,2020-05-28 21:17:34+00:00
405,2,2020-05-28 21:17:23+00:00
406,2,2020-05-28 21:17:23+00:00
407,2,2020-05-28 21:17:02+00:00
408,2,2020-05-28 21:16:49+00:00
409,2,2020-05-28 21:16:49+00:00
410,1,2020-05-29 23:59:53+00:00
411,1,2020-05-29 23:59:47+00:00
412,1,2020-05-29 23:59:28+00:00
413,1,2020-05-29 23:59:27+00:00
414,1,2020-05-29 23:59:23+00:00
415,1,2020-05-29 23:58:59+00:00
416,1,2020-05-29 23:58:52+00:00
417,2,2020-05-29 23:58:45+00:00
418,1,2020-05-29 23:58:37+00:00
419,1,2020-05-29 23:57:41+00:00
420,1,2020-05-29 23:56:36+00:00
421,2,2020-05-29 23:56:18+00:00
422,1,2020-05-29 23:56:14+00:00
423,1,2020-05-29 23:55:48+00:00
424,2,2020-05-29 23:54:21+00:00
425,1,2020-05-29 23:54:17+00:00
426,1,2020-05-29 23:53:55+00:00
427,1,2020-05-29 23:53:47+00:00
428,1,2020-05-29 23:53:46+00:00
429,1,2020-05-29 23:53:45+00:00
430,1,2020-05-29 23:53:41+00:00
431,2,2020-05-29 23:53:00+00:00
432,1,2020-05-29 23:52:50+00:00
433,1,2020-05-29 23:52:42+00:00
434,1,2020-05-29 23:52:31+00:00
435,2,2020-05-29 23:52:22+00:00
436,1,2020-05-29 23:52:18+00:00
437,1,2020-05-29 23:51:24+00:00
438,1,2020-05-29 23:51:17+00:00
439,1,2020-05-29 23:50:48+00:00
440,1,2020-05-29 23:50:33+00:00
441,1,2020-05-29 23:50:26+00:00
442,1,2020-05-29 23:50:23+00:00
443,1,2020-05-29 23:50:13+00:00
444,1,2020-05-29 23:50:12+00:00
445,2,2020-05-29 23:49:39+00:00
446,1,2020-05-29 23:49:19+00:00
447,1,2020-05-29 23:49:04+00:00
448,1,2020-05-29 23:48:42+00:00
449,1,2020-05-29 23:48:33+00:00
450,1,2020-05-29 23:48:08+00:00
451,1,2020-05-29 23:48:04+00:00
452,1,2020-05-29 23:47:17+00:00
453,1,2020-05-29 23:47:07+00:00
454,1,2020-05-29 23:47:04+00:00
455,1,2020-05-29 23:45:25+00:00
456,2,2020-05-29 23:45:14+00:00
457,2,2020-05-29 23:43:28+00:00
458,1,2020-05-29 23:43:08+00:00
459,1,2020-05-29 23:43:07+00:00
460,1,2020-05-29 23:42:40+00:00
461,1,2020-05-29 23:42:38+00:00
462,1,2020-05-29 23:42:36+00:00
463,1,2020-05-29 23:42:36+00:00
464,1,2020-05-29 23:41:47+00:00
465,1,2020-05-29 23:41:46+00:00
466,1,2020-05-29 23:41:40+00:00
467,1,2020-05-29 23:41:09+00:00
468,1,2020-05-29 23:41:04+00:00
469,1,2020-05-29 23:40:07+00:00
470,1,2020-05-29 23:39:40+00:00
471,1,2020-05-29 23:39:30+00:00
472,1,2020-05-29 23:39:01+00:00
473,1,2020-05-29 23:38:51+00:00
474,1,2020-05-29 23:38:42+00:00
475,1,2020-05-29 23:38:18+00:00
476,1,2020-05-29 23:38:13+00:00
477,1,2020-05-29 23:38:02+00:00
478,2,2020-05-29 23:37:47+00:00
479,1,2020-05-29 23:37:42+00:00
480,1,2020-05-29 23:36:50+00:00
481,1,2020-05-29 23:36:15+00:00
482,1,2020-05-29 23:35:28+00:00
483,1,2020-05-29 23:35:27+00:00
484,1,2020-05-29 23:35:11+00:00
485,1,2020-05-29 23:35:09+00:00
486,1,2020-05-29 23:35:07+00:00
487,1,2020-05-29 23:34:44+00:00
488,1,2020-05-29 23:34:33+00:00
489,1,2020-05-29 23:34:14+00:00
490,1,2020-05-29 23:34:09+00:00
491,1,2020-05-29 23:33:49+00:00
492,1,2020-05-29 23:33:16+00:00
493,1,2020-05-29 23:33:08+00:00
494,1,2020-05-29 23:32:31+00:00
495,2,2020-05-29 23:32:20+00:00
496,1,2020-05-29 23:32:14+00:00
497,1,2020-05-29 23:32:02+00:00
498,1,2020-05-29 23:32:02+00:00
499,1,2020-05-29 23:31:59+00:00
500,1,2020-05-29 23:31:58+00:00
501,2,2020-05-29 23:31:43+00:00
502,1,2020-05-29 23:31:41+00:00
503,1,2020-05-29 23:31:03+00:00
504,1,2020-05-29 23:31:02+00:00
505,1,2020-05-29 23:30:51+00:00
506,1,2020-05-29 23:30:51+00:00
507,1,2020-05-29 23:30:32+00:00
508,1,2020-05-29 23:30:27+00:00
509,1,2020-05-29 23:30:23+00:00
510,1,2020-05-29 23:30:14+00:00
511,1,2020-05-29 23:30:06+00:00
512,1,2020-05-29 23:30:05+00:00
513,1,2020-05-29 23:29:58+00:00
514,1,2020-05-29 23:29:39+00:00
515,1,2020-05-29 23:29:25+00:00
516,1,2020-05-29 23:29:25+00:00
517,1,2020-05-29 23:29:16+00:00
518,1,2020-05-29 23:29:14+00:00
519,1,2020-05-29 23:29:10+00:00
520,1,2020-05-29 23:29:08+00:00
521,1,2020-05-29 23:29:02+00:00
522,1,2020-05-29 23:28:59+00:00
523,2,2020-05-29 23:28:55+00:00
524,1,2020-05-29 23:28:48+00:00
525,1,2020-05-29 23:28:10+00:00
526,1,2020-05-29 23:27:56+00:00
527,1,2020-05-29 23:27:55+00:00
528,2,2020-05-29 23:27:45+00:00
529,1,2020-05-29 23:27:39+00:00
530,1,2020-05-29 23:27:21+00:00
531,2,2020-05-29 23:27:20+00:00
532,1,2020-05-29 23:27:17+00:00
533,1,2020-05-29 23:27:00+00:00
534,1,2020-05-29 23:26:41+00:00
535,1,2020-05-29 23:26:38+00:00
536,1,2020-05-29 23:25:46+00:00
537,1,2020-05-29 23:25:33+00:00
538,2,2020-05-29 23:25:27+00:00
539,1,2020-05-29 23:24:44+00:00
540,1,2020-05-29 23:24:17+00:00
541,1,2020-05-29 23:24:17+00:00
542,1,2020-05-29 23:23:38+00:00
543,1,2020-05-29 23:23:27+00:00
544,1,2020-05-29 23:23:26+00:00
545,1,2020-05-29 23:22:57+00:00
546,2,2020-05-29 23:22:57+00:00
547,1,2020-05-29 23:22:55+00:00
548,1,2020-05-29 23:22:53+00:00
549,1,2020-05-29 23:22:34+00:00
550,1,2020-05-29 23:22:23+00:00
551,1,2020-05-29 23:22:15+00:00
552,1,2020-05-29 23:21:43+00:00
553,1,2020-05-29 23:21:29+00:00
554,0,2020-05-29 23:20:55+00:00
555,1,2020-05-29 23:20:49+00:00
556,1,2020-05-29 23:20:27+00:00
557,1,2020-05-29 23:20:22+00:00
558,1,2020-05-29 23:19:58+00:00
559,1,2020-05-29 23:19:23+00:00
560,1,2020-05-29 23:18:09+00:00
561,1,2020-05-29 23:17:38+00:00
562,1,2020-05-29 23:17:36+00:00
563,1,2020-05-29 23:17:23+00:00
564,1,2020-05-29 23:17:15+00:00
565,1,2020-05-29 23:17:14+00:00
566,1,2020-05-29 23:17:11+00:00
567,1,2020-05-29 23:16:27+00:00
568,1,2020-05-29 23:16:09+00:00
569,1,2020-05-29 23:15:42+00:00
570,1,2020-05-29 23:15:41+00:00
571,1,2020-05-29 23:15:37+00:00
572,1,2020-05-29 23:15:30+00:00
573,1,2020-05-29 23:15:20+00:00
574,1,2020-05-29 23:15:11+00:00
575,1,2020-05-29 23:15:10+00:00
576,1,2020-05-29 23:15:08+00:00
577,1,2020-05-29 23:14:52+00:00
578,1,2020-05-29 23:14:43+00:00
579,1,2020-05-29 23:14:29+00:00
580,1,2020-05-29 23:14:21+00:00
581,2,2020-05-29 23:14:01+00:00
582,1,2020-05-29 23:13:44+00:00
583,1,2020-05-29 23:13:39+00:00
584,1,2020-05-29 23:13:27+00:00
585,1,2020-05-29 23:13:03+00:00
586,1,2020-05-29 23:13:00+00:00
587,1,2020-05-29 23:12:46+00:00
588,1,2020-05-29 23:12:37+00:00
589,1,2020-05-29 23:12:00+00:00
590,1,2020-05-29 23:11:45+00:00
591,1,2020-05-29 23:11:27+00:00
592,1,2020-05-29 23:11:11+00:00
593,2,2020-05-29 23:11:05+00:00
594,1,2020-05-29 23:11:05+00:00
595,2,2020-05-29 23:11:04+00:00
596,1,2020-05-29 23:10:56+00:00
597,1,2020-05-29 23:10:32+00:00
598,1,2020-05-29 23:09:47+00:00
599,2,2020-05-29 23:09:46+00:00
600,1,2020-05-29 23:09:28+00:00
601,1,2020-05-29 23:09:20+00:00
602,1,2020-05-29 23:08:58+00:00
603,1,2020-05-29 23:08:36+00:00
604,1,2020-05-29 23:08:17+00:00
605,1,2020-05-29 23:08:16+00:00
606,1,2020-05-29 23:07:39+00:00
607,1,2020-05-29 23:07:38+00:00
608,1,2020-05-29 23:06:30+00:00
609,1,2020-05-29 23:06:21+00:00
610,1,2020-05-29 23:06:16+00:00
611,1,2020-05-29 23:05:59+00:00
612,1,2020-05-29 23:05:43+00:00
613,1,2020-05-29 23:05:12+00:00
614,1,2020-05-29 23:04:51+00:00
615,1,2020-05-29 23:04:38+00:00
616,1,2020-05-29 23:04:02+00:00
617,1,2020-05-29 23:04:01+00:00
618,1,2020-05-29 23:03:55+00:00
619,1,2020-05-29 23:03:39+00:00
620,1,2020-05-29 23:03:22+00:00
621,1,2020-05-29 23:02:54+00:00
622,1,2020-05-29 23:02:46+00:00
623,1,2020-05-29 23:02:44+00:00
624,1,2020-05-29 23:02:17+00:00
625,1,2020-05-29 23:01:07+00:00
626,1,2020-05-29 23:00:46+00:00
627,1,2020-05-29 23:00:35+00:00
628,1,2020-05-29 22:59:46+00:00
629,1,2020-05-29 22:59:11+00:00
630,0,2020-05-29 22:59:08+00:00
631,2,2020-05-29 22:59:07+00:00
632,1,2020-05-29 22:59:03+00:00
633,1,2020-05-29 22:58:48+00:00
634,1,2020-05-29 22:58:29+00:00
635,2,2020-05-29 22:58:22+00:00
636,1,2020-05-29 22:58:15+00:00
637,1,2020-05-29 22:58:10+00:00
638,1,2020-05-29 22:57:59+00:00
639,1,2020-05-29 22:57:51+00:00
640,1,2020-05-29 22:57:39+00:00
641,1,2020-05-29 22:57:32+00:00
642,1,2020-05-29 22:57:19+00:00
643,1,2020-05-29 22:56:34+00:00
644,1,2020-05-29 22:56:17+00:00
645,1,2020-05-29 22:56:15+00:00
646,1,2020-05-29 22:55:58+00:00
647,2,2020-05-29 22:55:28+00:00
648,1,2020-05-29 22:55:20+00:00
649,1,2020-05-29 22:55:13+00:00
650,1,2020-05-29 22:54:55+00:00
651,1,2020-05-29 22:54:34+00:00
652,1,2020-05-29 22:54:29+00:00
653,2,2020-05-29 22:54:27+00:00
654,2,2020-05-29 22:54:15+00:00
655,1,2020-05-29 22:54:08+00:00
656,1,2020-05-29 22:53:53+00:00
657,2,2020-05-29 22:53:49+00:00
658,1,2020-05-29 22:53:30+00:00
659,1,2020-05-29 22:52:58+00:00
660,1,2020-05-29 22:52:53+00:00
661,1,2020-05-29 22:52:51+00:00
662,1,2020-05-29 22:52:44+00:00
663,1,2020-05-29 22:52:38+00:00
664,2,2020-05-29 22:52:33+00:00
665,1,2020-05-29 22:52:33+00:00
