date,vote obama,isPartial
2012-08-06,8,False
2012-08-07,12,False
2012-08-08,8,False
2012-08-09,8,False
2012-08-10,0,False
2012-08-11,0,False
2012-08-12,10,False
2012-08-13,22,False
2012-08-14,7,False
2012-08-15,8,False
2012-08-16,0,False
2012-08-17,0,False
2012-08-18,0,False
2012-08-19,10,False
2012-08-20,7,False
2012-08-21,0,False
2012-08-22,8,False
2012-08-23,8,False
2012-08-24,0,False
2012-08-25,10,False
2012-08-26,9,False
2012-08-27,0,False
2012-08-28,7,False
2012-08-29,7,False
2012-08-30,15,False
2012-08-31,11,False
2012-09-01,0,False
2012-09-02,9,False
2012-09-03,8,False
2012-09-04,0,False
2012-09-05,17,False
2012-09-06,7,False
2012-09-07,7,False
2012-09-08,0,False
2012-09-09,0,False
2012-09-10,17,False
2012-09-11,7,False
2012-09-12,14,False
2012-09-13,0,False
2012-09-14,15,False
2012-09-15,29,False
2012-09-16,0,False
2012-09-17,7,False
2012-09-18,7,False
2012-09-19,11,False
2012-09-20,11,False
2012-09-21,8,False
2012-09-22,0,False
2012-09-23,9,False
2012-09-24,7,False
2012-09-25,7,False
2012-09-26,14,False
2012-09-27,18,False
2012-09-28,8,False
2012-09-29,10,False
2012-09-30,0,False
2012-10-01,7,False
2012-10-02,17,False
2012-10-03,14,False
2012-10-04,22,False
2012-10-05,22,False
2012-10-06,19,False
2012-10-07,22,False
2012-10-08,0,False
2012-10-09,35,False
2012-10-10,7,False
2012-10-11,11,False
2012-10-12,0,False
2012-10-13,0,False
2012-10-14,8,False
2012-10-15,0,False
2012-10-16,10,False
2012-10-17,17,False
2012-10-18,10,False
2012-10-19,14,False
2012-10-20,9,False
2012-10-21,9,False
2012-10-22,0,False
2012-10-23,16,False
2012-10-24,10,False
2012-10-25,21,False
2012-10-26,25,False
2012-10-27,13,False
2012-10-28,8,False
2012-10-29,19,False
2012-10-30,12,False
2012-10-31,27,False
2012-11-01,7,False
2012-11-02,25,False
2012-11-03,18,False
2012-11-04,30,False
2012-11-05,57,False
2012-11-06,100,False
