date,vote obama,isPartial
2012-08-06,8,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,9,False
2012-08-11,11,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,9,False
2012-08-15,9,False
2012-08-16,0,False
2012-08-17,10,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,0,False
2012-08-22,0,False
2012-08-23,9,False
2012-08-24,0,False
2012-08-25,12,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,0,False
2012-08-29,9,False
2012-08-30,0,False
2012-08-31,0,False
2012-09-01,0,False
2012-09-02,25,False
2012-09-03,0,False
2012-09-04,17,False
2012-09-05,9,False
2012-09-06,9,False
2012-09-07,9,False
2012-09-08,22,False
2012-09-09,0,False
2012-09-10,0,False
2012-09-11,8,False
2012-09-12,0,False
2012-09-13,8,False
2012-09-14,0,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,0,False
2012-09-18,17,False
2012-09-19,9,False
2012-09-20,0,False
2012-09-21,9,False
2012-09-22,0,False
2012-09-23,23,False
2012-09-24,9,False
2012-09-25,17,False
2012-09-26,9,False
2012-09-27,0,False
2012-09-28,9,False
2012-09-29,0,False
2012-09-30,12,False
2012-10-01,8,False
2012-10-02,8,False
2012-10-03,0,False
2012-10-04,8,False
2012-10-05,15,False
2012-10-06,9,False
2012-10-07,0,False
2012-10-08,8,False
2012-10-09,15,False
2012-10-10,8,False
2012-10-11,8,False
2012-10-12,8,False
2012-10-13,0,False
2012-10-14,10,False
2012-10-15,0,False
2012-10-16,8,False
2012-10-17,23,False
2012-10-18,0,False
2012-10-19,8,False
2012-10-20,0,False
2012-10-21,10,False
2012-10-22,15,False
2012-10-23,11,False
2012-10-24,8,False
2012-10-25,23,False
2012-10-26,20,False
2012-10-27,0,False
2012-10-28,0,False
2012-10-29,11,False
2012-10-30,0,False
2012-10-31,16,False
2012-11-01,12,False
2012-11-02,16,False
2012-11-03,10,False
2012-11-04,35,False
2012-11-05,39,False
2012-11-06,100,False
