date,vote obama,isPartial
2012-08-06,0,False
2012-08-07,26,False
2012-08-08,26,False
2012-08-09,13,False
2012-08-10,14,False
2012-08-11,0,False
2012-08-12,17,False
2012-08-13,26,False
2012-08-14,0,False
2012-08-15,0,False
2012-08-16,0,False
2012-08-17,14,False
2012-08-18,0,False
2012-08-19,16,False
2012-08-20,0,False
2012-08-21,13,False
2012-08-22,13,False
2012-08-23,13,False
2012-08-24,0,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,0,False
2012-08-28,12,False
2012-08-29,25,False
2012-08-30,26,False
2012-08-31,14,False
2012-09-01,17,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,25,False
2012-09-05,19,False
2012-09-06,12,False
2012-09-07,26,False
2012-09-08,16,False
2012-09-09,15,False
2012-09-10,12,False
2012-09-11,0,False
2012-09-12,12,False
2012-09-13,25,False
2012-09-14,13,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,12,False
2012-09-18,11,False
2012-09-19,12,False
2012-09-20,13,False
2012-09-21,13,False
2012-09-22,17,False
2012-09-23,0,False
2012-09-24,0,False
2012-09-25,12,False
2012-09-26,12,False
2012-09-27,0,False
2012-09-28,18,False
2012-09-29,15,False
2012-09-30,0,False
2012-10-01,0,False
2012-10-02,18,False
2012-10-03,12,False
2012-10-04,37,False
2012-10-05,13,False
2012-10-06,17,False
2012-10-07,23,False
2012-10-08,12,False
2012-10-09,35,False
2012-10-10,24,False
2012-10-11,30,False
2012-10-12,13,False
2012-10-13,0,False
2012-10-14,15,False
2012-10-15,34,False
2012-10-16,29,False
2012-10-17,24,False
2012-10-18,36,False
2012-10-19,13,False
2012-10-20,25,False
2012-10-21,15,False
2012-10-22,23,False
2012-10-23,58,False
2012-10-24,12,False
2012-10-25,24,False
2012-10-26,39,False
2012-10-27,16,False
2012-10-28,14,False
2012-10-29,10,False
2012-10-30,0,False
2012-10-31,12,False
2012-11-01,44,False
2012-11-02,32,False
2012-11-03,48,False
2012-11-04,37,False
2012-11-05,65,False
2012-11-06,100,False
