date,hillary immigration,isPartial
2016-08-07,13,False
2016-08-08,4,False
2016-08-09,7,False
2016-08-10,4,False
2016-08-11,4,False
2016-08-12,4,False
2016-08-13,0,False
2016-08-14,0,False
2016-08-15,4,False
2016-08-16,8,False
2016-08-17,19,False
2016-08-18,28,False
2016-08-19,28,False
2016-08-20,0,False
2016-08-21,14,False
2016-08-22,15,False
2016-08-23,8,False
2016-08-24,34,False
2016-08-25,25,False
2016-08-26,11,False
2016-08-27,29,False
2016-08-28,25,False
2016-08-29,38,False
2016-08-30,31,False
2016-08-31,24,False
2016-09-01,68,False
2016-09-02,36,False
2016-09-03,12,False
2016-09-04,4,False
2016-09-05,23,False
2016-09-06,27,False
2016-09-07,17,False
2016-09-08,17,False
2016-09-09,11,False
2016-09-10,12,False
2016-09-11,12,False
2016-09-12,10,False
2016-09-13,13,False
2016-09-14,3,False
2016-09-15,10,False
2016-09-16,14,False
2016-09-17,8,False
2016-09-18,31,False
2016-09-19,17,False
2016-09-20,17,False
2016-09-21,24,False
2016-09-22,14,False
2016-09-23,7,False
2016-09-24,12,False
2016-09-25,12,False
2016-09-26,30,False
2016-09-27,37,False
2016-09-28,24,False
2016-09-29,20,False
2016-09-30,18,False
2016-10-01,12,False
2016-10-02,8,False
2016-10-03,30,False
2016-10-04,20,False
2016-10-05,23,False
2016-10-06,17,False
2016-10-07,45,False
2016-10-08,8,False
2016-10-09,12,False
2016-10-10,28,False
2016-10-11,27,False
2016-10-12,41,False
2016-10-13,34,False
2016-10-14,24,False
2016-10-15,17,False
2016-10-16,8,False
2016-10-17,30,False
2016-10-18,30,False
2016-10-19,24,False
2016-10-20,85,False
2016-10-21,32,False
2016-10-22,25,False
2016-10-23,20,False
2016-10-24,50,False
2016-10-25,23,False
2016-10-26,56,False
2016-10-27,33,False
2016-10-28,32,False
2016-10-29,8,False
2016-10-30,16,False
2016-10-31,47,False
2016-11-01,34,False
2016-11-02,56,False
2016-11-03,70,False
2016-11-04,52,False
2016-11-05,12,False
2016-11-06,31,False
2016-11-07,75,False
2016-11-08,100,False
