,date,scores
0,2020-05-28,1.776
1,2020-05-29,1.608
2,2020-05-30,1.186
3,2020-05-31,1.6380000000000001
4,2020-06-01,1.766
5,2020-06-02,2.0780000000000003
6,2020-06-03,1.724
7,2020-06-04,1.8119999999999998
8,2020-06-05,2.438
9,2020-06-06,1.766
10,2020-06-07,1.8880000000000001
11,2020-06-08,1.7919999999999998
12,2020-06-09,1.724
13,2020-06-10,2.036
14,2020-06-11,1.926
15,2020-06-12,1.964
16,2020-06-13,1.712
17,2020-06-14,1.93
18,2020-06-15,1.9780000000000002
19,2020-06-16,1.676
20,2020-06-17,1.79
21,2020-06-18,1.902
22,2020-06-19,1.712
23,2020-06-20,1.734
24,2020-06-21,2.036
25,2020-06-22,2.252
26,2020-06-23,1.8159999999999998
27,2020-06-24,1.75
28,2020-06-25,2.2119999999999997
29,2020-06-26,1.754
30,2020-06-27,1.8559999999999999
31,2020-06-28,1.82
32,2020-06-29,1.828
