,date,scores
0,2020-05-28,1.808
1,2020-05-29,1.3619999999999999
2,2020-05-30,1.798
3,2020-05-31,1.676
4,2020-06-01,1.814
5,2020-06-02,2.1180000000000003
6,2020-06-03,1.754
7,2020-06-04,1.784
8,2020-06-05,1.734
9,2020-06-06,1.916
10,2020-06-07,1.8519999999999999
11,2020-06-08,1.932
12,2020-06-09,1.6380000000000001
13,2020-06-10,1.412
14,2020-06-11,1.464
15,2020-06-12,1.6380000000000001
16,2020-06-13,2.064
17,2020-06-14,1.896
18,2020-06-15,1.7519999999999998
19,2020-06-16,1.672
20,2020-06-17,1.932
21,2020-06-18,1.942
22,2020-06-19,1.69
23,2020-06-20,1.252
24,2020-06-21,1.954
25,2020-06-22,2.112
26,2020-06-23,1.9480000000000002
27,2020-06-24,1.1440000000000001
28,2020-06-25,1.6840000000000002
29,2020-06-26,1.5759999999999998
30,2020-06-27,1.3980000000000001
31,2020-06-28,1.8719999999999999
32,2020-06-29,1.516
