date,hillary
2016-08-07,12
2016-08-08,13
2016-08-09,15
2016-08-10,15
2016-08-11,13
2016-08-12,11
2016-08-13,10
2016-08-14,10
2016-08-15,9
2016-08-16,9
2016-08-17,10
2016-08-18,9
2016-08-19,9
2016-08-20,9
2016-08-21,9
2016-08-22,13
2016-08-23,14
2016-08-24,11
2016-08-25,12
2016-08-26,11
2016-08-27,11
2016-08-28,10
2016-08-29,9
2016-08-30,9
2016-08-31,9
2016-09-01,9
2016-09-02,9
2016-09-03,9
2016-09-04,9
2016-09-05,10
2016-09-06,13
2016-09-07,12
2016-09-08,16
2016-09-09,12
2016-09-10,11
2016-09-11,46
2016-09-12,57
2016-09-13,40
2016-09-14,27
2016-09-15,21
2016-09-16,18
2016-09-17,14
2016-09-18,14
2016-09-19,14
2016-09-20,15
2016-09-21,14
2016-09-22,16
2016-09-23,17
2016-09-24,15
2016-09-25,14
2016-09-26,20
2016-09-27,83
2016-09-28,30
2016-09-29,22
2016-09-30,20
2016-10-01,19
2016-10-02,17
2016-10-03,17
2016-10-04,18
2016-10-05,17
2016-10-06,14
2016-10-07,14
2016-10-08,23
2016-10-09,24
2016-10-10,58
2016-10-11,31
2016-10-12,26
2016-10-13,25
2016-10-14,24
2016-10-15,21
2016-10-16,21
2016-10-17,21
2016-10-18,22
2016-10-19,24
2016-10-20,54
2016-10-21,32
2016-10-22,23
2016-10-23,22
2016-10-24,20
2016-10-25,22
2016-10-26,24
2016-10-27,23
2016-10-28,41
2016-10-29,47
2016-10-30,36
2016-10-31,35
2016-11-01,36
2016-11-02,37
2016-11-03,39
2016-11-04,39
2016-11-05,39
2016-11-06,45
2016-11-07,54
2016-11-08,100
