date,trump
2016-08-07,17
2016-08-08,22
2016-08-09,17
2016-08-10,26
2016-08-11,22
2016-08-12,14
2016-08-13,16
2016-08-14,12
2016-08-15,10
2016-08-16,13
2016-08-17,15
2016-08-18,13
2016-08-19,21
2016-08-20,19
2016-08-21,15
2016-08-22,14
2016-08-23,14
2016-08-24,12
2016-08-25,13
2016-08-26,12
2016-08-27,13
2016-08-28,11
2016-08-29,8
2016-08-30,10
2016-08-31,16
2016-09-01,19
2016-09-02,13
2016-09-03,12
2016-09-04,13
2016-09-05,11
2016-09-06,13
2016-09-07,9
2016-09-08,16
2016-09-09,13
2016-09-10,10
2016-09-11,17
2016-09-12,13
2016-09-13,14
2016-09-14,17
2016-09-15,17
2016-09-16,16
2016-09-17,15
2016-09-18,15
2016-09-19,11
2016-09-20,15
2016-09-21,16
2016-09-22,16
2016-09-23,14
2016-09-24,14
2016-09-25,11
2016-09-26,17
2016-09-27,64
2016-09-28,29
2016-09-29,23
2016-09-30,29
2016-10-01,23
2016-10-02,28
2016-10-03,25
2016-10-04,20
2016-10-05,24
2016-10-06,26
2016-10-07,22
2016-10-08,72
2016-10-09,68
2016-10-10,84
2016-10-11,53
2016-10-12,39
2016-10-13,38
2016-10-14,35
2016-10-15,32
2016-10-16,35
2016-10-17,29
2016-10-18,33
2016-10-19,26
2016-10-20,66
2016-10-21,33
2016-10-22,27
2016-10-23,28
2016-10-24,24
2016-10-25,28
2016-10-26,25
2016-10-27,32
2016-10-28,31
2016-10-29,24
2016-10-30,25
2016-10-31,31
2016-11-01,31
2016-11-02,35
2016-11-03,35
2016-11-04,37
2016-11-05,39
2016-11-06,62
2016-11-07,55
2016-11-08,100
