date,trump
2016-08-07,18
2016-08-08,17
2016-08-09,19
2016-08-10,25
2016-08-11,23
2016-08-12,17
2016-08-13,17
2016-08-14,19
2016-08-15,16
2016-08-16,14
2016-08-17,14
2016-08-18,17
2016-08-19,23
2016-08-20,20
2016-08-21,19
2016-08-22,18
2016-08-23,16
2016-08-24,15
2016-08-25,14
2016-08-26,14
2016-08-27,13
2016-08-28,15
2016-08-29,13
2016-08-30,13
2016-08-31,16
2016-09-01,23
2016-09-02,18
2016-09-03,13
2016-09-04,14
2016-09-05,17
2016-09-06,14
2016-09-07,16
2016-09-08,19
2016-09-09,16
2016-09-10,15
2016-09-11,15
2016-09-12,14
2016-09-13,15
2016-09-14,21
2016-09-15,19
2016-09-16,20
2016-09-17,16
2016-09-18,14
2016-09-19,13
2016-09-20,17
2016-09-21,19
2016-09-22,16
2016-09-23,15
2016-09-24,14
2016-09-25,15
2016-09-26,21
2016-09-27,69
2016-09-28,33
2016-09-29,26
2016-09-30,26
2016-10-01,25
2016-10-02,32
2016-10-03,26
2016-10-04,25
2016-10-05,29
2016-10-06,25
2016-10-07,27
2016-10-08,92
2016-10-09,84
2016-10-10,100
2016-10-11,57
2016-10-12,46
2016-10-13,55
2016-10-14,46
2016-10-15,38
2016-10-16,39
2016-10-17,35
2016-10-18,34
2016-10-19,33
2016-10-20,73
2016-10-21,38
2016-10-22,30
2016-10-23,31
2016-10-24,29
2016-10-25,30
2016-10-26,32
2016-10-27,35
2016-10-28,33
2016-10-29,28
2016-10-30,29
2016-10-31,29
2016-11-01,33
2016-11-02,36
2016-11-03,35
2016-11-04,39
2016-11-05,40
2016-11-06,63
2016-11-07,54
2016-11-08,99
