date,trump
2016-08-07,17
2016-08-08,22
2016-08-09,17
2016-08-10,27
2016-08-11,17
2016-08-12,13
2016-08-13,12
2016-08-14,15
2016-08-15,17
2016-08-16,15
2016-08-17,20
2016-08-18,11
2016-08-19,19
2016-08-20,20
2016-08-21,17
2016-08-22,12
2016-08-23,16
2016-08-24,12
2016-08-25,13
2016-08-26,14
2016-08-27,20
2016-08-28,14
2016-08-29,12
2016-08-30,8
2016-08-31,16
2016-09-01,25
2016-09-02,19
2016-09-03,14
2016-09-04,15
2016-09-05,13
2016-09-06,17
2016-09-07,13
2016-09-08,16
2016-09-09,14
2016-09-10,12
2016-09-11,15
2016-09-12,13
2016-09-13,20
2016-09-14,21
2016-09-15,16
2016-09-16,18
2016-09-17,14
2016-09-18,12
2016-09-19,12
2016-09-20,17
2016-09-21,15
2016-09-22,13
2016-09-23,16
2016-09-24,11
2016-09-25,14
2016-09-26,19
2016-09-27,73
2016-09-28,47
2016-09-29,25
2016-09-30,32
2016-10-01,23
2016-10-02,32
2016-10-03,33
2016-10-04,24
2016-10-05,28
2016-10-06,27
2016-10-07,30
2016-10-08,80
2016-10-09,76
2016-10-10,99
2016-10-11,45
2016-10-12,37
2016-10-13,36
2016-10-14,44
2016-10-15,39
2016-10-16,37
2016-10-17,41
2016-10-18,40
2016-10-19,29
2016-10-20,75
2016-10-21,33
2016-10-22,32
2016-10-23,34
2016-10-24,32
2016-10-25,27
2016-10-26,34
2016-10-27,35
2016-10-28,31
2016-10-29,35
2016-10-30,37
2016-10-31,35
2016-11-01,35
2016-11-02,41
2016-11-03,35
2016-11-04,39
2016-11-05,32
2016-11-06,74
2016-11-07,57
2016-11-08,100
